,Dataset,Start age,End age,sex,tissue,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
0,droplet,18m,21m,female,Spleen,Anxa8,171.6484375,1.957967725729759e-07,3.360837945365347e-05,0.0001674388477113098,2.0189065690387186e-41
1,droplet,18m,21m,female,Limb_Muscle,Ptprcap,44.2047004699707,2.9477004659383965e-07,1.3030265108682215e-05,9.713387407828122e-05,5.439585148349462e-06
2,droplet,18m,21m,female,Marrow,Cxcl2,37.47262191772461,2.950920361399767e-06,0.00011057875963160768,0.0004153369809500873,1.7421234118658977e-69
3,droplet,18m,21m,female,Fat,Tdo2,32.43480682373047,1.125718085859262e-06,3.651247970992699e-05,0.0001345086348010227,7.218712994593428e-08
4,droplet,18m,21m,female,Fat,Col6a5,32.27742004394531,4.518284640653292e-06,0.00014583859592676163,0.0004380294412840158,4.5631819784141394e-14
5,droplet,18m,21m,female,Pancreas,Crispld2,31.878496170043945,5.752496008426533e-07,1.833812530094292e-05,7.919270865386352e-05,1.0352062776120787e-08
6,droplet,18m,21m,female,Mammary_Gland,1810010D01Rik,31.31610870361328,1.8741220628726296e-05,5.984520043966768e-07,0.00013261981075629592,6.83541948071289e-07
7,droplet,18m,21m,female,Marrow,Stfa2l1,26.65180015563965,3.857323463307694e-06,0.00010280463902745396,0.0006208706181496382,1.1319331705676656e-24
8,droplet,18m,21m,female,Spleen,Upk1a,25.311243057250977,1.4343900147650857e-06,3.630622086348012e-05,0.00011606905900407583,6.901956626250748e-80
9,droplet,18m,21m,female,Fat,Mrgprg,23.840898513793945,8.320018423546571e-06,0.00019835673447232693,0.0006407229229807854,5.3968750849718174e-11
10,droplet,18m,21m,female,Liver,Marco,23.72174072265625,0.0001876327150966972,7.909735359135084e-06,0.0007142675458453596,9.541061043878218e-06
11,droplet,18m,21m,female,Marrow,Il1b,22.537160873413086,3.3573269320186228e-06,7.566464046249166e-05,0.0004355993587523699,1.2588157204857164e-26
12,droplet,18m,21m,female,Mammary_Gland,Fam25c,22.278488159179688,0.000133932800963521,6.011753612256143e-06,0.0004393862618599087,3.7778336896721674e-50
13,droplet,18m,21m,female,Liver,Cd163,19.309688568115234,7.688607001909986e-05,3.981734607805265e-06,0.00025488599203526974,4.2058897206961975e-08
14,droplet,18m,21m,female,Mammary_Gland,Nrxn3,18.598228454589844,2.761873292911332e-05,1.485018515268166e-06,0.00010554047184996307,1.9744692754645914e-27
15,droplet,18m,21m,female,Pancreas,Try5,16.331541061401367,0.00032673144596628845,0.005336028058081865,0.01462637446820736,5.074012340072407e-31
16,droplet,18m,21m,female,Marrow,Niacr1,16.225107192993164,1.4623444712924538e-06,2.372671224293299e-05,9.795882215257734e-05,6.0071048131857115e-33
17,droplet,18m,21m,female,Pancreas,Matn2,15.270003318786621,9.228464477928355e-06,0.0001409186952514574,0.00024157602456398308,4.067348974013024e-84
18,droplet,18m,21m,female,Marrow,Asprv1,15.229305267333984,2.0036550267832354e-06,3.0514287573168986e-05,0.00018201523926109076,5.0689139604628404e-20
19,droplet,18m,21m,female,Mammary_Gland,Dnaic1,14.803987503051758,9.35164644033648e-06,6.316967642305826e-07,4.294643076718785e-05,1.1849176307633339e-06
20,droplet,18m,21m,female,Pancreas,Aff2,14.723024368286133,1.3520526408683509e-05,9.183243037114153e-07,4.9249050789512694e-05,8.256514356096384e-06
