,Dataset,Start age,End age,sex,tissue,subtissue,cell_ontology_class,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
0,droplet,3m,18m,male,Kidney,nan,lymphocyte,S100a8,23938.904296875,3.248440862080315e-06,0.07776413857936859,0.07736752927303314,2.2933287382995585e-08
1,droplet,3m,18m,female,Spleen,nan,T cell,Sostdc1,821.059814453125,3.532147161422472e-07,0.0002900112303905189,0.0010433391435071826,2.091685828760788e-06
2,droplet,3m,18m,female,Spleen,nan,T cell,Lag3,142.17660522460938,2.8189754175400594e-06,0.0004007924871984869,0.0007705563330091536,1.0857396483820803e-30
3,droplet,3m,18m,female,Marrow,nan,precursor B cell,Fosb,107.30658721923828,0.00015527116192970425,1.4469852658294258e-06,0.00018430236377753317,8.421755820344669e-35
4,droplet,3m,18m,female,Lung,nan,dendritic cell,Hist1h2ae,83.43202209472656,8.570082172809634e-06,0.0007150193559937179,4.4753673137165606e-05,1.6529010182261998e-145
5,droplet,3m,18m,female,Marrow,nan,granulocytopoietic cell,Fosb,73.07179260253906,8.345968672074378e-05,1.1421591352700489e-06,0.0001414026046404615,1.469914748217464e-47
6,droplet,3m,18m,female,Kidney,nan,fibroblast,Cx3cl1,64.197998046875,6.157104508019984e-06,0.00039527384797111154,0.00010969628783641383,5.394096166538946e-10
7,droplet,3m,18m,female,Marrow,nan,promonocyte,Atf3,59.257301330566406,3.222644591005519e-05,5.438382117972651e-07,7.19961681170389e-05,9.298371602651405e-06
8,droplet,3m,18m,female,Marrow,nan,granulocyte,Cxcl2,58.326175689697266,0.00010033856960944831,1.7202997923959629e-06,0.00035996150108985603,7.156915721472311e-08
9,droplet,3m,18m,male,Kidney,nan,kidney proximal convoluted tubule epithelial cell,S100a9,53.415645599365234,2.194231228713761e-06,0.00011720632755896077,0.00014805250975769013,1.2766701900761169e-09
10,droplet,3m,18m,male,Kidney,nan,lymphocyte,Pglyrp1,50.04920196533203,3.2216095860349014e-05,0.001612389925867319,0.0017408686690032482,3.967056766664877e-06
11,droplet,3m,18m,female,Marrow,nan,monocyte,Fosb,50.01242446899414,0.00019105950195807964,3.820239726337604e-06,0.00019180928939022124,1.6109068851451075e-93
12,droplet,3m,18m,female,Marrow,nan,proerythroblast,Thbs1,47.79499816894531,0.0003028067003469914,6.335530088108499e-06,0.000447385769803077,8.057423622599037e-13
13,droplet,3m,18m,female,Spleen,nan,T cell,Gpm6b,47.292659759521484,4.601857654051855e-06,0.00021763413678854704,0.000404652877477929,1.993329792298481e-31
14,droplet,3m,18m,male,Kidney,nan,lymphocyte,Sepx1,45.158103942871094,5.6142474932130426e-05,0.002535287756472826,0.0025220829993486404,7.981578560366595e-08
15,droplet,3m,18m,female,Marrow,nan,granulocyte,Fosb,44.39687728881836,5.252844130154699e-05,1.1831551773866522e-06,0.0001249035121873021,1.6258382524838458e-20
16,droplet,3m,18m,female,Marrow,nan,promonocyte,Cxcl2,44.199405670166016,0.00012177992175566033,2.7552380288398126e-06,0.0002582705346867442,4.3090198869493917e-07
17,droplet,3m,18m,male,Kidney,nan,epithelial cell of proximal tubule,S100a8,42.35689163208008,2.2974465991865145e-06,9.731273166835308e-05,0.00012260244693607092,2.2401889307922816e-35
18,droplet,3m,18m,female,Marrow,nan,naive B cell,Dusp1,39.584781646728516,0.0007969907019287348,2.0133762518526055e-05,0.0005906402366235852,1.7319836114547042e-19
19,droplet,3m,18m,female,Marrow,nan,promonocyte,Fosb,39.41071319580078,9.983622294384986e-05,2.5332244604214793e-06,9.918558498611674e-05,9.146051519170409e-43
20,droplet,3m,18m,male,Kidney,nan,kidney loop of Henle thick ascending limb epithelial cell,S100a8,38.459224700927734,3.7957574932079297e-06,0.00014598193229176104,0.00015360301767941564,1.827821187073241e-15
21,droplet,3m,18m,male,Kidney,nan,epithelial cell of proximal tubule,S100a9,36.92442321777344,3.108242708549369e-06,0.0001147701041190885,0.00013775374100077897,1.608534678931175e-40
22,droplet,3m,18m,female,Spleen,nan,T cell,Bhlhe40,33.78231430053711,2.6097550289705396e-06,8.816359331831336e-05,0.00021681765792891383,4.731114152472809e-16
23,droplet,3m,18m,female,Marrow,nan,monocyte,Cxcl2,33.742469787597656,0.00024124729679897428,7.149661996663781e-06,0.0005370352882891893,2.736966605968651e-16
24,droplet,3m,18m,female,Marrow,nan,naive B cell,Fos,33.05290603637695,0.003083728952333331,9.329675958724692e-05,0.0023538535460829735,5.820750625528942e-18
25,droplet,3m,18m,female,Marrow,nan,granulocyte,Cpeb4,32.1652717590332,2.4620008844067343e-05,7.654210207874712e-07,7.724300667177886e-05,3.6919480735840703e-09
26,droplet,3m,18m,female,Marrow,nan,macrophage,Fosb,31.962194442749023,8.290291589219123e-05,2.5937795271602226e-06,7.716634718235582e-05,5.30616692167073e-19
27,droplet,3m,18m,male,Kidney,nan,brush cell,Rpl22l1,30.25253677368164,0.0005986650357954204,1.978891850740183e-05,0.00012213228910695761,1.0175247549103683e-18
28,droplet,3m,18m,female,Marrow,nan,naive B cell,Fosb,30.24664878845215,0.00036674176226370037,1.2125036846555304e-05,0.000379901408450678,7.185123185874578e-08
29,droplet,3m,18m,female,Kidney,nan,epithelial cell of proximal tubule,Lamp2,29.142358779907227,2.2230125978239812e-05,0.0006478383438661695,0.0006374161457642913,6.231957129881557e-12
30,droplet,3m,18m,female,Marrow,nan,hematopoietic precursor cell,Fosb,28.5421142578125,0.00017945822037290782,6.287487849476747e-06,0.00020179532293695956,7.817375997804357e-40
31,droplet,3m,18m,male,Kidney,nan,kidney loop of Henle thick ascending limb epithelial cell,Dbp,28.3021240234375,0.00013005077198613435,4.595087830239208e-06,0.00016261918062809855,3.8348610054234084e-15
32,droplet,3m,18m,female,Spleen,nan,T cell,Casp4,27.368600845336914,2.232161705251201e-06,6.109116657171398e-05,0.00014852339518256485,1.0971297438429838e-15
33,droplet,3m,18m,female,Lung,nan,T cell,Lmo4,27.0816593170166,4.46668200311251e-05,0.0012096515856683254,0.000868741946760565,7.687101824170453e-10
34,droplet,3m,18m,female,Marrow,nan,late pro-B cell,Fos,26.833236694335938,0.0021000101696699858,7.826153159840032e-05,0.0011912909103557467,1.1826556129045104e-17
35,droplet,3m,18m,female,Lung,nan,dendritic cell,Smarca5,26.59681510925293,1.647022509132512e-05,0.0004380555765237659,0.00010791607928695157,2.958656103907766e-06
