,Dataset,Start age,End age,sex,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
0,droplet,3m,18m,female,Ins1,349190.09375,9.35636457199962e-09,0.003267499152570963,0.01764858327805996,4.4580543198993516e-159
1,droplet,3m,18m,female,Ins2,91358.640625,1.3472934767833067e-07,0.012308781035244465,0.06671489030122757,5.891358233720039e-158
2,droplet,3m,18m,male,Otor,49606.66015625,8.954067743616179e-05,1.8040132720997804e-09,0.0009266487904824317,7.79834136535557e-40
3,droplet,3m,18m,male,Ins2,41821.375,3.4747114341371343e-07,0.014531763270497322,0.07472457736730576,8.764949204679453e-184
4,droplet,3m,18m,female,Sst,24263.505859375,1.865071119766526e-08,0.00045255591976456344,0.007631553336977959,3.4318839994188547e-13
5,droplet,3m,18m,female,Gcg,23237.8046875,8.049083533023804e-08,0.0018704535905271769,0.021522652357816696,2.4571826322150386e-32
6,droplet,3m,18m,male,Bpifa1,21144.787109375,0.0007812401163391769,3.694617589644622e-08,0.007634931709617376,2.6133779515044887e-46
7,droplet,3m,18m,female,Ppy,18322.306640625,4.928646646362722e-08,0.0009030600194819272,0.01554622408002615,1.6063049998752294e-12
8,droplet,3m,18m,female,Defb4,16478.142578125,1.3783980648440775e-05,8.355008906946182e-10,0.00022511660063173622,1.1579474354386555e-09
9,droplet,3m,18m,male,Sst,13138.1943359375,3.530244541138927e-08,0.00046382349682971835,0.00847602915018797,2.42553033017801e-11
10,droplet,3m,18m,female,Resp18,11844.9892578125,8.17323009272286e-09,9.682367090135813e-05,0.0006412991206161678,3.671416430988901e-99
11,droplet,3m,18m,female,Chga,11333.81640625,4.400881437049975e-08,0.0004987991414964199,0.002932274714112282,2.1983113391908203e-133
12,droplet,3m,18m,male,Ins1,10221.9873046875,4.856862005908624e-07,0.004964688792824745,0.027399735525250435,4.645682840138788e-159
13,droplet,3m,18m,male,3110079O15Rik,8904.1953125,0.0006273901090025902,7.045905192626378e-08,0.0018081284360960126,0.0
14,droplet,3m,18m,female,Sprr1b,6540.8662109375,2.6693094696383923e-05,4.079972359960493e-09,0.0003021711891051382,2.1834729249262955e-28
15,droplet,3m,18m,male,Gcg,6502.45849609375,2.480608713995025e-07,0.0016130120493471622,0.022506896406412125,6.042819374717913e-22
16,droplet,3m,18m,female,Pyy,6328.43798828125,5.752842113793122e-08,0.0003640713694039732,0.004369958303868771,2.1630453592552758e-29
17,droplet,3m,18m,female,Slc30a8,6281.5693359375,5.10542630394184e-09,3.207637200830504e-05,0.00018991640536114573,9.293140515147596e-81
18,droplet,3m,18m,male,Ppy,5290.89013671875,1.8978830951255077e-07,0.0010041543282568455,0.017130831256508827,1.5834283483232254e-13
19,droplet,3m,18m,male,Ms4a3,5052.91748046875,9.986046656251801e-09,5.046372098149732e-05,0.0003208986308891326,9.76696033148033e-97
20,droplet,3m,18m,male,Mup3,4840.587890625,0.000432270229794085,8.930017969532855e-08,0.003447930794209242,3.9535160306162295e-71
21,droplet,3m,18m,female,Krt13,4469.32275390625,0.0002623251057229936,5.869359753774006e-08,0.001933750812895596,1.4667362511666174e-90
22,droplet,3m,18m,male,Ces3a,4194.59912109375,2.232033511972986e-05,5.320207829839774e-09,0.00019484701624605805,4.359337328318037e-36
23,droplet,3m,18m,female,2310002L13Rik,4041.407470703125,1.565469392517116e-05,3.8725747053547366e-09,0.00011580663704080507,1.7447555321333423e-30
24,droplet,3m,18m,male,Iapp,3822.884521484375,3.414904199416924e-07,0.0013054822338744998,0.006999820936471224,1.394358032768689e-168
25,droplet,3m,18m,male,Mup20,3690.923095703125,0.0004057637706864625,1.0993457522090466e-07,0.003922946285456419,2.5595556842088736e-47
26,droplet,3m,18m,female,Scg2,3596.7744140625,2.756735817399658e-08,9.915716509567574e-05,0.0005662342882715166,1.3147429124420862e-132
27,droplet,3m,18m,male,Col2a1,3520.396728515625,0.0006920801242813468,1.965905198630935e-07,0.002711151260882616,1.950942647442997e-305
28,droplet,3m,18m,male,Elane,3118.605712890625,1.047414173172001e-07,0.0003266503044869751,0.0024973773397505283,7.13743772838542e-81
29,droplet,3m,18m,male,Fcnb,3097.489013671875,1.0426805197027988e-08,3.23000131174922e-05,0.000185355544090271,7.726683098409069e-87
30,droplet,3m,18m,male,Serpina1c,3054.367919921875,0.0002272436977364123,7.439857796498472e-08,0.0016548284329473972,1.8360000515870135e-85
31,droplet,3m,18m,male,Acan,2893.61181640625,0.000247092975769192,8.539157647646789e-08,0.0007695002132095397,0.0
32,droplet,3m,18m,male,Apoa5,2540.6650390625,2.409170519968029e-05,9.481440521597051e-09,0.0002152624074369669,5.998187640485457e-37
33,droplet,3m,18m,male,Stfa2l1,2485.327880859375,3.9700580600765534e-08,9.867143671726808e-05,0.0006702987593598664,1.478277955313495e-98
34,droplet,3m,18m,male,Gm5483,2410.8583984375,4.823309751600391e-08,0.00011628556967480108,0.0010346461785957217,1.0257504076245894e-57
35,droplet,3m,18m,male,Neurod1,2385.19287109375,4.319958613052677e-09,1.030632029141998e-05,7.887741958256811e-05,1.2587535739504633e-14
36,droplet,3m,18m,male,2810007J24Rik,2088.55712890625,2.1886751710553654e-05,1.047836484247e-08,0.00018147221999242902,4.916460898496038e-38
37,droplet,3m,18m,female,Crct1,2086.536376953125,1.9171291569364257e-05,9.187093752416331e-09,0.00033232069108635187,1.3236788422258342e-10
38,droplet,3m,18m,male,Cyp3a11,2025.0372314453125,7.45072538848035e-05,3.6792030755350424e-08,0.0006785539444535971,3.218088426146674e-51
39,droplet,3m,18m,female,Krt4,1983.29296875,0.00048191225505433977,2.4298492462548893e-07,0.004678604658693075,5.427421278483413e-51
40,droplet,3m,18m,male,Ngp,1968.7818603515625,1.954970457518357e-06,0.0038489121943712234,0.01319829374551773,0.0
41,droplet,3m,18m,male,Pyy,1901.2379150390625,3.198683771188371e-07,0.0006081477622501552,0.007372511085122824,3.6436269412780964e-30
42,droplet,3m,18m,male,Cyp2c29,1898.357177734375,2.0153600416961126e-05,1.0615337053820895e-08,0.00023574412625748664,1.9707073227121733e-21
43,droplet,3m,18m,male,Ceacam10,1783.412841796875,1.3941155785346382e-08,2.4864619263098575e-05,0.00011326404637657106,2.487888913816658e-82
44,droplet,3m,18m,male,Mrgpra2b,1761.6693115234375,2.0929876498598787e-08,3.687328353407793e-05,0.0001388286764267832,2.518851897709543e-156
45,droplet,3m,18m,male,Serpina3k,1746.34375,0.00031255080830305815,1.7897339432693116e-07,0.0023961912374943495,4.616592665241944e-77
46,droplet,3m,18m,male,Ctsg,1678.2459716796875,6.429612398051177e-08,0.0001079063949873671,0.001003090525045991,1.7390550621437952e-52
47,droplet,3m,18m,male,Itgb2l,1667.5499267578125,1.3941155785346382e-08,2.3249240257428028e-05,8.868126315064728e-05,1.1161386523124633e-83
48,droplet,3m,18m,male,Camp,1642.9002685546875,2.5701019694679417e-06,0.00422242283821106,0.015021847561001778,0.0
49,droplet,3m,18m,female,Mt4,1633.9586181640625,0.000588118564337492,3.599338072035607e-07,0.003550302004441619,2.956306535316774e-137
50,droplet,3m,18m,male,Ugt2b1,1485.234130859375,8.264280950243119e-06,5.56329515788434e-09,8.281102782348171e-05,8.434193477500819e-08
51,droplet,3m,18m,male,Mbl2,1472.1187744140625,1.402931047778111e-05,9.52901224593461e-09,0.00011886049469467252,1.811145195683974e-22
52,droplet,3m,18m,male,Akr1c6,1464.607666015625,3.15694123855792e-05,2.1553859141931753e-08,0.0002834218321368098,7.846377263606328e-43
53,droplet,3m,18m,male,Alb,1325.0167236328125,0.0006835477543063462,5.158775593372411e-07,0.0057842181995511055,8.139883830904424e-63
54,droplet,3m,18m,female,G6pc2,1303.08251953125,3.522683300616336e-08,4.59047696494963e-05,0.00030678705661557615,1.4365690627054612e-82
55,droplet,3m,18m,female,Pcsk2,1281.4012451171875,1.3877162530206988e-07,0.00017782340000849217,0.0009393172804266214,4.004183777654245e-162
56,droplet,3m,18m,male,Chga,1168.335693359375,4.1493072444609425e-07,0.0004847795353271067,0.003156829858198762,7.908839594012391e-113
57,droplet,3m,18m,male,S100a9,1167.4283447265625,1.8335567801841535e-05,0.02140546403825283,0.05302612856030464,0.0
58,droplet,3m,18m,female,Krt6b,1135.7254638671875,4.743202589452267e-05,4.176263956878756e-08,0.0007782268803566694,7.019611200444624e-15
59,droplet,3m,18m,male,Retnlg,1070.443603515625,3.0176724976627156e-06,0.0032302492763847113,0.011699054390192032,0.0
60,droplet,3m,18m,male,Pcsk1n,1056.27490234375,2.2767291341097007e-07,0.0002404862316325307,0.0012160476762801409,7.373680566273258e-187
61,droplet,3m,18m,male,Tg,982.995361328125,0.0006379539263434708,6.489887596217159e-07,0.006462777033448219,9.277323272480811e-43
62,droplet,3m,18m,male,S100a8,977.0993041992188,2.6417250410304405e-05,0.02581227943301201,0.0636930912733078,0.0
63,droplet,3m,18m,male,Plg,958.3770141601562,1.743986467772629e-05,1.8196290696437245e-08,0.00016247558232862502,2.071578367210332e-26
64,droplet,3m,18m,female,Chgb,956.1383056640625,3.275447113537666e-08,3.131875928374939e-05,0.0002586249029263854,7.731982346880035e-49
65,droplet,3m,18m,male,Mia1,943.5064086914062,0.0004996240604668856,5.295386245052214e-07,0.001366552896797657,0.0
66,droplet,3m,18m,female,Serpinb3a,850.3382568359375,2.7795736968982965e-05,3.268685944135541e-08,0.0003123774949926883,3.24367545121505e-29
67,droplet,3m,18m,female,Ivl,819.207763671875,2.1693380404030904e-05,2.647992580762093e-08,0.00024442962603643537,1.821907377549398e-25
68,droplet,3m,18m,male,Rdh7,749.13671875,2.1061414372525178e-05,2.8113246841598993e-08,0.00017361875507049263,5.9668145955748705e-37
69,droplet,3m,18m,male,Hao1,745.1239624023438,1.0635951184667647e-05,1.4273068948966738e-08,7.945518882479519e-05,1.5446626898497834e-15
70,droplet,3m,18m,male,Slco1b2,638.1280517578125,1.921896546264179e-05,3.011672689012812e-08,0.00021157754235900939,8.637688211260021e-23
71,droplet,3m,18m,male,Serpina1e,620.0139770507812,0.0002515834930818528,4.0576966853222984e-07,0.001991255208849907,8.460330349947731e-72
72,droplet,3m,18m,male,Ucma,610.1354370117188,0.0003845208848360926,6.302211659203749e-07,0.0012125635985285044,0.0
73,droplet,3m,18m,male,Mup1,601.522705078125,2.019303610723e-05,3.356886679739546e-08,0.000206962286029011,2.2071029032547872e-26
74,droplet,3m,18m,male,Mfi2,573.9542236328125,7.423265924444422e-05,1.2933450932450796e-07,0.00024207559181377292,0.0
75,droplet,3m,18m,male,Arpp21,530.1840209960938,3.398861636583206e-08,1.8020749848801643e-05,0.00015529025404248387,1.170935269916424e-30
76,droplet,3m,18m,male,Kng1,526.25244140625,2.9652057492057793e-05,5.634469246729168e-08,0.0002677983429748565,5.059884704776182e-41
77,droplet,3m,18m,male,Cyp3a25,483.92132568359375,9.510651580058038e-06,1.9652301119776894e-08,9.265091648558155e-05,1.4284298882091745e-10
78,droplet,3m,18m,male,Ibsp,464.20465087890625,2.9478094802470878e-05,6.350136771970938e-08,0.0003047924838028848,2.3249418399084708e-32
79,droplet,3m,18m,male,9830107B12Rik,443.89263916015625,1.73241616607811e-08,7.690511665714439e-06,4.492885273066349e-05,2.899093787704021e-08
80,droplet,3m,18m,male,Abcc8,417.4642639160156,6.458569146161608e-08,2.6962636184180155e-05,0.00016831178800202906,1.4261052127319205e-66
81,droplet,3m,18m,female,Pcsk1n,414.3606872558594,3.8155656056915177e-07,0.00015810245531611145,0.0009061865275725722,1.9680021780648044e-136
82,droplet,3m,18m,female,Serpinb12,406.6639404296875,1.3312620467331726e-05,3.273517279467342e-08,0.0001605996221769601,7.471817677329781e-15
83,droplet,3m,18m,male,Rag1,372.29412841796875,2.9016948843718637e-08,1.0803211807797197e-05,0.00011697320587700233,2.84995688419543e-12
84,droplet,3m,18m,male,Col9a3,366.9330749511719,0.00016001577023416758,4.360888112842076e-07,0.000540287175681442,0.0
85,droplet,3m,18m,male,Alx1,360.523193359375,9.768725249159615e-06,2.7094969823338033e-08,5.502957719727419e-05,1.267277221785068e-14
86,droplet,3m,18m,male,A230065H16Rik,358.1910400390625,4.631864430848509e-05,1.2931168669183535e-07,0.00019264029106125236,1.9716579494418226e-168
87,droplet,3m,18m,male,Hpx,352.51904296875,7.998316868906841e-05,2.2688935530368326e-07,0.0007007429376244545,1.6311403087832266e-55
88,droplet,3m,18m,male,Cyp2d10,345.9069519042969,1.4542563803843223e-05,4.2040838366119715e-08,0.00013497317559085786,1.9099565633809343e-21
89,droplet,3m,18m,male,Scg2,338.8842468261719,3.0070631851231155e-07,0.00010190496686846018,0.0005599067662842572,2.8500617175202304e-148
90,droplet,3m,18m,male,Apoc4,329.60626220703125,5.772937583969906e-05,1.7514548744657077e-07,0.0004269068012945354,1.0606901496607101e-73
91,droplet,3m,18m,male,Col9a2,329.21197509765625,0.0002118937118211761,6.43638088604348e-07,0.0006082376930862665,0.0
92,droplet,3m,18m,male,G6pc2,324.4726867675781,8.54695016982987e-08,2.7732843591365963e-05,0.00018553744303062558,1.2356831008174148e-62
93,droplet,3m,18m,male,Apoa2,308.5309143066406,0.0005878852098248899,1.9054327822232153e-06,0.004365845117717981,3.990839903978416e-82
94,droplet,3m,18m,female,Cnfn,305.1057434082031,6.17030673311092e-05,2.0223401975272282e-07,0.0007024751394055784,3.847786814089055e-34
95,droplet,3m,18m,male,Ugt2b36,299.0360412597656,1.2687556591117755e-05,4.242718887326191e-08,0.00011128358164569363,1.0688934723099658e-18
96,droplet,3m,18m,male,Slc27a5,288.8538818359375,8.376064215553924e-06,2.8996582912554913e-08,8.354418241651729e-05,5.4226148055938763e-08
97,droplet,3m,18m,female,Spink5,279.47149658203125,2.8593607567017898e-05,1.023121427579099e-07,0.0002271003177156672,5.509529189863884e-52
98,droplet,3m,18m,male,Chgb,278.93096923828125,1.7850049971457338e-07,4.978959623258561e-05,0.00037484325002878904,4.126741119302585e-71
99,droplet,3m,18m,male,Serpinc1,271.5234680175781,2.8406406272551976e-05,1.046176052454939e-07,0.0002350318245589733,6.601243250549647e-46
100,droplet,3m,18m,male,Cytl1,271.40057373046875,0.0071326992474496365,2.6281073587597348e-05,0.02088102698326111,0.0
101,droplet,3m,18m,male,Mmp8,267.9715270996094,8.125988983920251e-07,0.00021775365166831762,0.0007309915381483734,0.0
102,droplet,3m,18m,male,Apoa1,261.82208251953125,0.000286890659481287,1.0957455742754973e-06,0.0022350188810378313,7.276397210921185e-74
103,droplet,3m,18m,female,Krt84,256.48388671875,2.861151733668521e-05,1.1155187706890501e-07,0.0006335898651741445,2.398945963402216e-06
104,droplet,3m,18m,male,Stfa1,256.1185607910156,6.079898184907506e-08,1.5572004485875368e-05,0.00029774144059047103,3.2882458696670014e-07
105,droplet,3m,18m,female,Nkx6-1,247.77574157714844,2.9674669832502332e-08,7.352911325142486e-06,5.7577472034608945e-05,1.248917149770398e-06
106,droplet,3m,18m,female,Them5,244.86636352539062,5.323048389982432e-05,2.1738486566391657e-07,0.0002432063192827627,7.788792735578098e-171
107,droplet,3m,18m,male,Mpo,242.1665802001953,7.384697369161586e-07,0.00017883293912746012,0.0015413896180689335,5.408355960173193e-62
108,droplet,3m,18m,female,Calm4,241.52003479003906,7.646469020983204e-05,3.1659672572459385e-07,0.0004926102119497955,1.9239919034769414e-108
109,droplet,3m,18m,male,Lect1,239.62318420410156,0.0001340219023404643,5.593017249339027e-07,0.00044988206354901195,0.0
110,droplet,3m,18m,male,Pcsk2,233.50253295898438,6.980702664804994e-07,0.00016300141578540206,0.0008482956909574568,3.5863439820799566e-172
111,droplet,3m,18m,male,Ces2a,223.6550750732422,9.654288987803739e-06,4.3164973817511054e-08,9.324496932094917e-05,7.090623855314296e-11
112,droplet,3m,18m,male,Hapln1,214.7122344970703,0.00011925995931960642,5.554398967433372e-07,0.0003712085890583694,0.0
113,droplet,3m,18m,male,Asgr1,210.6006317138672,2.0351548300823197e-05,9.663474287435747e-08,0.00013214419595897198,4.503257600873761e-46
114,droplet,3m,18m,male,Ces1c,191.43191528320312,1.602994598215446e-05,8.373606164013836e-08,0.000148297447594814,4.524794210808511e-24
115,droplet,3m,18m,male,Bhmt,191.01429748535156,3.63694089173805e-05,1.9040049892282696e-07,0.0003145349328406155,5.235971752202688e-48
116,droplet,3m,18m,female,A230057D06Rik,175.3573760986328,4.8899607918428956e-08,8.57508166518528e-06,6.501093594124541e-05,9.614498515389447e-10
117,droplet,3m,18m,male,Ugt2b5,173.43826293945312,1.997796425712295e-05,1.1518675080424146e-07,0.0001779424346750602,1.513675873186016e-31
118,droplet,3m,18m,female,Ptprn2,172.67486572265625,6.827388432384396e-08,1.1789356904046144e-05,7.747171184746549e-05,6.532520255922168e-20
119,droplet,3m,18m,male,Syt13,172.44558715820312,1.309225012846582e-07,2.257717824249994e-05,0.0001257035182788968,4.131409318297348e-61
120,droplet,3m,18m,male,Apoc3,169.99696350097656,0.00013526160910259932,7.956696777000616e-07,0.0010145914275199175,2.575766213915708e-78
121,droplet,3m,18m,male,Wif1,165.4886016845703,0.0006321314722299576,3.819787707470823e-06,0.0016482475912198424,0.0
122,droplet,3m,18m,male,Scgb3a2,157.6671600341797,0.00014723814092576504,9.338531867797428e-07,0.0016164988046512008,5.237269548576054e-35
123,droplet,3m,18m,male,Cldn13,154.74142456054688,5.844241002250783e-08,9.04361604625592e-06,9.602697537047789e-05,5.350974268961803e-09
124,droplet,3m,18m,male,Lcn2,153.94296264648438,1.6298390619340353e-05,0.002509022830054164,0.007425046060234308,0.0
125,droplet,3m,18m,female,Pax9,151.5001220703125,1.4425076187762897e-05,9.521394161993157e-08,6.86177663737908e-05,1.1186512552415728e-33
126,droplet,3m,18m,male,Cebpe,151.3424072265625,3.5580362123255327e-07,5.3848325478611514e-05,0.0001985151757253334,7.063746090124184e-224
127,droplet,3m,18m,male,Uox,147.22679138183594,2.695381954254117e-05,1.8307586913124396e-07,0.00021467864280566573,1.2042081341811024e-46
128,droplet,3m,18m,male,Clec3a,144.9409637451172,5.985989992041141e-05,4.129940691655065e-07,0.0002949521876871586,8.620197651677808e-149
129,droplet,3m,18m,male,Fzd9,139.81948852539062,7.29327293811366e-05,5.216195972934656e-07,0.00025544886011630297,2.3558623444197375e-282
130,droplet,3m,18m,male,Fgb,138.9254608154297,7.508740964112803e-05,5.404859848567867e-07,0.0006273324834182858,6.867237148847556e-60
131,droplet,3m,18m,male,Prtn3,135.47802734375,1.5582304513372947e-06,0.0002111061185132712,0.0012938425643369555,1.2493238962893222e-124
132,droplet,3m,18m,male,Dntt,131.827880859375,3.1750047924106184e-07,4.185554644209333e-05,0.00031643922557123005,5.915535193140018e-66
133,droplet,3m,18m,female,Calml3,130.7322998046875,7.110626756912097e-05,5.439064238998981e-07,0.0003749614697881043,2.7618471056341844e-152
134,droplet,3m,18m,male,Pla2g5,128.17611694335938,8.480689575662836e-05,6.616425025640638e-07,0.0002879766980186105,2.5271715e-317
135,droplet,3m,18m,male,Mup2,121.56816864013672,6.044201654731296e-05,4.97185169479053e-07,0.000668963068164885,6.712192910192248e-33
136,droplet,3m,18m,male,Serpina1b,120.46006774902344,0.00010939726053038612,9.08161041479616e-07,0.0007995159830898046,4.989174058292419e-81
137,droplet,3m,18m,male,Cfhr2,118.17726135253906,1.5837516912142746e-05,1.3401393061940325e-07,0.00012975255958735943,8.733622857753974e-27
138,droplet,3m,18m,male,Serpina1a,116.26241302490234,0.0001319553703069687,1.1349777651048498e-06,0.0009490009397268295,2.2143501047030973e-84
139,droplet,3m,18m,female,Tmprss11a,113.09950256347656,1.5087068277352955e-05,1.333954173787788e-07,8.171000808943063e-05,2.2467239877116213e-34
140,droplet,3m,18m,male,Apol11b,108.99738311767578,1.1469276728348632e-07,1.2501320270530414e-05,0.00017018734070006758,3.54636309473917e-11
141,droplet,3m,18m,male,C4bp,108.08244323730469,1.1437868124630768e-05,1.0582439813333622e-07,9.84833823167719e-05,7.877296244810038e-16
142,droplet,3m,18m,male,Col25a1,107.84725952148438,1.1224661648157053e-05,1.0407824646563313e-07,6.940564344404265e-05,1.6402393355137259e-18
143,droplet,3m,18m,male,Fabp1,104.56498718261719,0.000426826678449288,4.0819263631419744e-06,0.0036308031994849443,1.2075036329226272e-60
144,droplet,3m,18m,female,Capns2,103.78254699707031,1.4991017451393418e-05,1.44445422733952e-07,7.887052925070748e-05,2.625311306327204e-34
145,droplet,3m,18m,male,Cd177,103.11003875732422,1.0101621228386648e-06,0.00010415795986773446,0.0003199890779796988,0.0
146,droplet,3m,18m,male,9930013L23Rik,96.4670639038086,4.450285996426828e-05,4.61326010281482e-07,0.00019607982540037483,3.4934768108659257e-149
147,droplet,3m,18m,male,Matn3,95.77537536621094,2.2025798898539506e-05,2.2997251392098406e-07,0.00013635052891913801,3.044771269331454e-52
148,droplet,3m,18m,female,A330076H08Rik,93.86773681640625,6.175731073199131e-07,5.797028643428348e-05,0.0003691025194711983,4.231304926393204e-95
149,droplet,3m,18m,male,Gm10872,93.75713348388672,2.1270376748816489e-07,1.994258855120279e-05,9.688349382486194e-05,2.615748441301126e-56
150,droplet,3m,18m,male,Scgb3a1,93.02965545654297,0.0002697710006032139,2.899837909353664e-06,0.004993180278688669,4.2715468766238715e-10
151,droplet,3m,18m,male,Otc,92.75387573242188,1.3652706911670975e-05,1.4719185514877609e-07,0.00011866925342474133,1.326908640810989e-20
152,droplet,3m,18m,male,Pax6,90.8679428100586,8.9752383303221e-08,8.155705472745467e-06,6.05977293162141e-05,1.114547782453868e-08
153,droplet,3m,18m,male,Slc4a1,90.56998443603516,2.589248708773084e-07,2.3450911612599157e-05,0.0002179525326937437,2.7065955401450867e-34
154,droplet,3m,18m,male,Mmp9,88.01912689208984,2.229682877441519e-06,0.00019625481218099594,0.0006404852611012757,0.0
155,droplet,3m,18m,male,Susd5,87.39449310302734,4.5856904762331396e-05,5.247105718808598e-07,0.00015088217332959175,2.979081691132137e-214
156,droplet,3m,18m,male,Reg3g,87.1236801147461,0.00018868483311962336,2.165711521229241e-06,0.0022996694315224886,1.1696608560926922e-27
157,droplet,3m,18m,female,Psapl1,86.90380859375,8.406429515162017e-06,9.673157563838686e-08,6.808301986893639e-05,4.727998143301921e-09
158,droplet,3m,18m,male,Hamp,86.4019546508789,3.683318936964497e-05,4.262994366399653e-07,0.0003783910069614649,1.965678762435713e-34
159,droplet,3m,18m,male,Trem3,86.08160400390625,8.764471317590505e-07,7.544606341980398e-05,0.00018943496979773045,0.0
160,droplet,3m,18m,male,Mrgpra2a,85.35662078857422,8.684453689511429e-08,7.412841569021111e-06,4.699885175796226e-05,4.0672812727005403e-07
161,droplet,3m,18m,male,Fgg,84.88123321533203,6.258805660763755e-05,7.373593575721316e-07,0.0004997658543288708,2.366295550662705e-63
162,droplet,3m,18m,male,Trim10,82.87382507324219,1.4913982226971711e-07,1.2359870197542477e-05,0.00012325795250944793,6.371397668795527e-16
163,droplet,3m,18m,male,Rhd,82.51663208007812,1.775803042391999e-07,1.4653411199105904e-05,0.00015737656212877482,2.6084114090261627e-18
164,droplet,3m,18m,male,Hrg,80.2740707397461,1.079130197467748e-05,1.3442974022837006e-07,9.456546104047447e-05,5.072278505713219e-14
165,droplet,3m,18m,male,Gypa,77.91755676269531,6.653542641288368e-07,5.184285691939294e-05,0.0004563714028336108,2.1232362771311797e-52
166,droplet,3m,18m,male,Col11a1,77.67620086669922,0.00030911763315089047,3.9795659176888876e-06,0.0008862627437338233,0.0
167,droplet,3m,18m,male,Serpina1d,75.69060516357422,6.839726847829297e-05,9.036417623065063e-07,0.0004959508660249412,3.798427325137626e-77
168,droplet,3m,18m,male,Cxcr2,70.7585678100586,7.994473776307132e-07,5.656782377627678e-05,0.00022694168728776276,4.6130748803064806e-203
169,droplet,3m,18m,male,Fga,70.70643615722656,5.334727029548958e-05,7.544885534116474e-07,0.0004581875109579414,3.2115508311347604e-53
170,droplet,3m,18m,female,Gpx2,69.28041076660156,4.89998419652693e-05,7.072673042785027e-07,0.0002436521026538685,1.1770284516943446e-140
171,droplet,3m,18m,male,Rgn,67.89337921142578,2.9158827601349913e-05,4.294787174785597e-07,0.0002880346146412194,6.467812102023286e-34
172,droplet,3m,18m,male,Slfn4,66.45185852050781,4.06782788786586e-07,2.703153768379707e-05,0.00011942335549974814,7.578790965929772e-91
173,droplet,3m,18m,male,Resp18,61.540225982666016,1.4830490044914768e-06,9.126723307417706e-05,0.0006053550750948489,5.945211108571164e-96
174,droplet,3m,18m,male,Trem1,61.480491638183594,6.985850404817029e-07,4.2949413909809664e-05,0.00023002972011454403,7.531641682329714e-113
175,droplet,3m,18m,female,Krtdap,61.074886322021484,0.00017020439554471523,2.786813865895965e-06,0.0012636282481253147,2.8856539307056756e-85
