,dataset,start_age,end_age,sex,tissue,subtissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,droplet,3m,21m,female,Spleen,nan,Sostdc1,8.765893936157227,9.963081026853615e-08,4.337056816439144e-05,0.00039069110061973333,7.268059065758466e-13
1,droplet,3m,21m,female,Spleen,nan,Anxa8,8.76583194732666,7.720822736700939e-08,3.360837945365347e-05,0.0001674388477113098,7.666501634837853e-42
2,droplet,3m,21m,female,Spleen,nan,Upk1a,7.881497859954834,1.5396109631637955e-07,3.630622086348012e-05,0.00011606905900407583,1.1303542413475744e-87
3,droplet,3m,21m,female,Spleen,nan,Dnm3,7.684897422790527,1.3804422849261755e-07,2.8405735065462068e-05,9.80360055109486e-05,1.0422134191577444e-65
4,droplet,3m,21m,female,Spleen,nan,Bmpr1a,7.594237327575684,4.0323953953702585e-08,7.79232505010441e-06,4.496235851547681e-05,1.985578825047518e-06
5,droplet,3m,21m,female,Limb_Muscle,nan,Cd8a,-6.916997909545898,1.5837264072615653e-05,1.3105483276376617e-07,0.00011308319517411292,3.811099950108995e-08
6,droplet,3m,21m,female,Kidney,nan,Cox8b,6.662285804748535,2.8970649168513773e-07,2.934320582426153e-05,0.0001753505493979901,4.981263676405887e-09
7,droplet,3m,21m,female,Limb_Muscle,nan,Dapl1,-6.3617353439331055,2.1510497390409e-05,2.6156263288612536e-07,0.0001738214195938781,9.350663569924388e-07
8,droplet,3m,21m,female,Kidney,nan,Ly6d,5.540004730224609,1.902797635011666e-06,8.8532040535938e-05,0.0005927434540353715,8.420817551094334e-07
9,droplet,3m,21m,female,Mammary_Gland,nan,Col6a5,5.534942150115967,4.3627568402371253e-07,2.0227658751537092e-05,0.00018259409989695996,3.052807261514045e-07
10,droplet,3m,21m,female,Spleen,nan,C130026I21Rik,5.392847537994385,6.451075023505837e-06,0.0002710448170546442,0.00039088763878680766,0.0
11,droplet,3m,21m,female,Spleen,nan,Gm12824,5.294439792633057,2.71106245008923e-07,1.0639622814778704e-05,5.579140633926727e-05,4.011210623122245e-12
12,droplet,3m,21m,female,Spleen,nan,Cxcl10,5.283940315246582,5.26226813235553e-07,2.0502098777797073e-05,0.0001533596805529669,9.544456184479061e-15
13,droplet,3m,21m,female,Spleen,nan,Clec2g,5.085486888885498,3.5082419458376535e-07,1.191172850667499e-05,6.615270103793591e-05,1.493403623927717e-13
14,droplet,3m,21m,female,Spleen,nan,Chst7,4.841066837310791,4.475079720123176e-07,1.2826495549234096e-05,0.00010105533146997914,3.4946247635515204e-09
15,droplet,3m,21m,female,Spleen,nan,Gm4827,4.783153533935547,5.184168117011723e-07,1.4274226487032138e-05,6.409354682546109e-05,3.76602066346091e-21
16,droplet,3m,21m,female,Spleen,nan,Spon1,4.771760940551758,4.743722854527732e-07,1.295875699725002e-05,6.154953734949231e-05,2.0749198685994243e-17
17,droplet,3m,21m,female,Lung,nan,C130026I21Rik,4.756183624267578,1.7438511576983728e-06,4.712633017334156e-05,0.00018235846073366702,3.9905876778336256e-32
18,droplet,3m,21m,female,Spleen,nan,Art3,4.73431921005249,6.022895036039699e-07,1.603164491825737e-05,7.126822310965508e-05,8.42579053370932e-25
19,droplet,3m,21m,female,Limb_Muscle,nan,Cd8b1,-4.720080852508545,3.0027233151486143e-05,1.1392761507522664e-06,0.00018389946490060538,1.6957526709294818e-13
20,droplet,3m,21m,female,Spleen,nan,Apobec2,4.63290548324585,9.735661024024012e-07,2.4155133360181935e-05,9.856713586486876e-05,1.5577808709984207e-41
21,droplet,3m,21m,female,Spleen,nan,Zbtb32,4.591465950012207,2.267869831484859e-06,5.467480150400661e-05,0.00015493418322876096,5.089294442658633e-118
22,droplet,3m,21m,female,Spleen,nan,Cdkn2a,4.561020851135254,5.653054699905624e-07,1.3344059880182613e-05,6.268304423429072e-05,5.414181140521067e-18
23,droplet,3m,21m,female,Spleen,nan,Emr1,4.531473636627197,3.7638494632119546e-06,8.704460924491286e-05,0.00020594484522007406,3.262368329313701e-187
24,droplet,3m,21m,female,Spleen,nan,Gzmk,4.477758884429932,7.289744416993926e-07,1.6242491255979985e-05,0.00011589240602916107,4.886744096802625e-13
25,droplet,3m,21m,female,Spleen,nan,Hook1,-4.341672897338867,1.006923230306711e-05,4.966171900377958e-07,5.1350987632758915e-05,4.523347861725644e-09
26,droplet,3m,21m,female,Limb_Muscle,nan,Vpreb3,-4.340563774108887,1.246160263690399e-05,6.150825129225268e-07,8.1560094258748e-05,6.182833616689351e-07
27,droplet,3m,21m,female,Spleen,nan,Gm7609,4.222375392913818,2.491085297151585e-06,4.6499731979565695e-05,0.00012042900925735012,2.1423936911216248e-120
28,droplet,3m,21m,female,Spleen,nan,Lcn2,4.1870293617248535,1.1141192771901842e-05,0.00020293322450015694,0.001906069228425622,9.874292985985957e-10
29,droplet,3m,21m,female,Limb_Muscle,nan,Sell,-4.176138877868652,2.899720857385546e-05,1.6040312402765267e-06,0.00012106318172300234,2.654264841020385e-27
30,droplet,3m,21m,female,Spleen,nan,Il1r2,4.146517753601074,9.242930332220567e-07,1.6369536751881242e-05,0.0001487217959947884,7.371922734063637e-08
31,droplet,3m,21m,female,Spleen,nan,Hoxa7,4.034068584442139,6.409095476556104e-07,1.0499606105440762e-05,5.526941822608933e-05,1.532640703665356e-10
32,droplet,3m,21m,female,Spleen,nan,Dapl1,-4.024445533752441,0.00013809261145070195,8.485777470923495e-06,0.0004657865792978555,4.194097243853596e-71
33,droplet,3m,21m,female,Kidney,nan,Cd79a,3.932102918624878,4.7155554057098925e-06,7.198033563327044e-05,0.0004486101970542222,4.327090947378632e-06
34,droplet,3m,21m,female,Limb_Muscle,nan,Gm8369,-3.8823113441467285,1.6425527064711787e-05,1.1138502031826647e-06,8.605822222307324e-05,1.5849856434706987e-12
35,droplet,3m,21m,female,Spleen,nan,Slpi,3.871328592300415,3.0864895961713046e-05,0.0004517007910180837,0.004272732883691788,7.728493913863947e-10
36,droplet,3m,21m,female,Spleen,nan,Ltf,3.8688344955444336,4.883726433035918e-06,7.134879706427455e-05,0.0007382712210528553,8.419021889503282e-07
37,droplet,3m,21m,female,Mammary_Gland,nan,Fam5c,3.8232715129852295,5.793551167698752e-07,8.200964657589793e-06,3.962921255151741e-05,6.500594371699318e-06
38,droplet,3m,21m,female,Kidney,nan,Rn45s,-3.8016180992126465,0.030205141752958298,0.0021661065984517336,0.04101318120956421,9.827488602096401e-110
39,droplet,3m,21m,female,Limb_Muscle,nan,Txk,-3.784782886505127,1.3315559044713154e-05,9.661083595347009e-07,8.041302498895675e-05,1.214827678070064e-07
40,droplet,3m,21m,female,Spleen,nan,Ngp,3.780841588973999,3.29390459228307e-05,0.00045274922740645707,0.004388462286442518,5.7746046716712284e-08
41,droplet,3m,21m,female,Mammary_Gland,nan,Tmem88b,3.75679087638855,1.2077782685082639e-06,1.6326544937328435e-05,6.90357483108528e-05,4.759218752774007e-21
42,droplet,3m,21m,female,Spleen,nan,S100a8,3.72166109085083,0.00018459915008861572,0.0024353498592972755,0.0216691792011261,1.6759269000045792e-10
43,droplet,3m,21m,female,Spleen,nan,Rab7,-3.7193968296051025,1.1329219887556974e-05,8.6010106770118e-07,5.437951404019259e-05,8.705404650379377e-11
44,droplet,3m,21m,female,Limb_Muscle,nan,Ms4a4b,-3.7044715881347656,4.081870793015696e-05,3.131136963929748e-06,0.00021034761448390782,1.1156770608389634e-17
45,droplet,3m,21m,female,Limb_Muscle,nan,Fcer2a,-3.667175769805908,1.966922718565911e-05,1.5483072957067634e-06,0.00011798158084275201,3.99167435730195e-10
46,droplet,3m,21m,female,Spleen,nan,Camp,3.638131618499756,4.32978049502708e-05,0.0005390793085098267,0.005277759395539761,1.4976419774727792e-07
47,droplet,3m,21m,female,Spleen,nan,1100001G20Rik,3.63798189163208,8.244098353316076e-06,0.00010263250442221761,0.0009301344398409128,9.42843545760114e-10
48,droplet,3m,21m,female,Spleen,nan,Klk1b27,3.630368947982788,1.4855280596748344e-06,1.839632386690937e-05,8.055864600464702e-05,4.580610254606003e-25
49,droplet,3m,21m,female,Kidney,nan,Abcc3,3.5881948471069336,1.5732805422885576e-06,1.892172258521896e-05,8.700125181348994e-05,1.262092037543058e-10
50,droplet,3m,21m,female,Spleen,nan,Apoc2,3.5815813541412354,5.038734343543183e-06,6.03232801950071e-05,0.0002803622919600457,3.3859608027260936e-39
51,droplet,3m,21m,female,Spleen,nan,4632427E13Rik,-3.571701765060425,1.2010368664050475e-05,1.0101051657329663e-06,5.6845983635867015e-05,1.1519982118811567e-11
52,droplet,3m,21m,female,Marrow,nan,Hist1h1b,-3.4710819721221924,0.00021377175289671868,1.9277489627711475e-05,0.0005466423463076353,1.4091520252174186e-90
53,droplet,3m,21m,female,Spleen,nan,S100a9,3.4531660079956055,0.0001705068425508216,0.001867447281256318,0.016272298991680145,3.4959436400031096e-10
54,droplet,3m,21m,female,Mammary_Gland,nan,C130026I21Rik,3.409701347351074,3.3827766401373083e-06,3.5949746234109625e-05,0.00013307455810718238,8.932201971113642e-44
55,droplet,3m,21m,female,Kidney,nan,Hdc,3.405501365661621,2.435208261886146e-05,0.00025804428150877357,0.0006430522771552205,3.5891547623198726e-55
56,droplet,3m,21m,female,Spleen,nan,Cacna1s,3.397155523300171,6.521583600260783e-06,6.870665674796328e-05,0.0001479278871556744,1.5302735384993332e-171
57,droplet,3m,21m,female,Spleen,nan,Diras2,3.3891475200653076,8.679066922923084e-07,9.093028893403243e-06,5.343783413991332e-05,2.3773421721762864e-06
58,droplet,3m,21m,female,Kidney,nan,Gm853,3.386523723602295,1.7778069150153897e-06,1.8592167180031538e-05,9.577553282724693e-05,7.944455645708306e-08
59,droplet,3m,21m,female,Spleen,nan,Chst1,3.385896682739258,1.1276833902229555e-06,1.1788106348831207e-05,9.437846892978996e-05,2.486348816232446e-06
60,droplet,3m,21m,female,Spleen,nan,Lag3,3.3794498443603516,7.392380666715326e-06,7.693078077863902e-05,0.00036537859705276787,1.721431725495807e-42
61,droplet,3m,21m,female,Marrow,nan,Hist1h2ab,-3.357434034347534,4.844140858040191e-05,4.726376573671587e-06,0.00015210134733933955,4.891579965639566e-50
62,droplet,3m,21m,female,Spleen,nan,Pdcd1,3.309373378753662,2.6440720830578357e-06,2.621163184812758e-05,0.00014110775373410434,4.504231973517843e-24
63,droplet,3m,21m,female,Kidney,nan,Cyp2a4,3.30112624168396,9.51794208958745e-06,9.381690324516967e-05,0.0003140098415315151,6.04802706143711e-28
64,droplet,3m,21m,female,Limb_Muscle,nan,Lat,-3.285632371902466,3.570517583284527e-05,3.6614842429116834e-06,0.00016150220471899956,2.1576759800342705e-21
65,droplet,3m,21m,female,Lung,nan,Gzmk,3.235874891281128,2.7798087103292346e-06,2.6188487026956864e-05,0.00015882108709774911,1.3503986905173426e-07
