,Dataset,Start age,End age,sex,tissue,subtissue,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
0,droplet,3m,24m,male,Kidney,nan,Slc12a1,470437.34375,0.0015329810557886958,3.257629499486825e-09,0.004109303466975689,3.82255978334385e-33
1,droplet,3m,24m,male,Kidney,nan,Akr1c21,139535.359375,0.0009914026595652103,7.104028476589974e-09,0.0014598675770685077,7.969704766058269e-118
2,droplet,3m,24m,male,Kidney,nan,Timp3,84067.8671875,0.0014221890596672893,1.6916153811052936e-08,0.0014064733404666185,1.9069540292621392e-265
3,droplet,3m,24m,male,Kidney,nan,Hnf4a,34296.94921875,0.00014044703857507557,4.094030003898297e-09,0.00025845630443654954,7.582661511603972e-73
4,droplet,3m,24m,male,Kidney,nan,Spink3,31220.78125,0.0024745729751884937,7.925944345288372e-08,0.0036662656348198652,2.1238898003625066e-116
5,droplet,3m,24m,male,Kidney,nan,Calml4,30013.716796875,0.0002802493399940431,9.33637522848585e-09,0.0003948401426896453,4.4647651493665767e-128
6,droplet,3m,24m,male,Kidney,nan,Glod5,20812.837890625,7.633656787220389e-05,3.6667633374065645e-09,0.00015838311810512096,7.803228745194932e-55
7,droplet,3m,24m,male,Kidney,nan,Dnase1,19784.86328125,0.000566263566724956,2.8620050329664082e-08,0.001155911129899323,1.2857111340950667e-59
8,droplet,3m,24m,male,Kidney,nan,Spp2,19541.2421875,0.00031861892784945667,1.6303946637208355e-08,0.0007624140125699341,2.1991315594745858e-42
9,droplet,3m,24m,male,Kidney,nan,Aldob,18713.69140625,0.0017446427373215556,9.322714333848126e-08,0.002430990571156144,4.979447155494252e-132
10,droplet,3m,24m,male,Kidney,nan,Tmem27,14973.091796875,0.0014836045447736979,9.908371367828295e-08,0.002074211137369275,4.1483262400691173e-131
11,droplet,3m,24m,male,Kidney,nan,Slc27a2,14915.771484375,0.0008567953482270241,5.744124464968081e-08,0.0014777627075091004,6.24910127164841e-85
12,droplet,3m,24m,male,Kidney,nan,Emcn,14069.224609375,0.0006228896090760827,4.427220190450498e-08,0.0015300228260457516,4.120870815223232e-40
13,droplet,3m,24m,male,Kidney,nan,Mal,13948.0068359375,0.0003156991151627153,2.2632994145510565e-08,0.0005054199718870223,1.0536049257751836e-98
14,droplet,3m,24m,male,Kidney,nan,Pah,12583.8603515625,0.0004019111511297524,3.193762410091949e-08,0.0005933853681199253,7.977016904870278e-117
15,droplet,3m,24m,male,Kidney,nan,Tmem30b,11244.77734375,3.419075073907152e-05,3.0395892469670116e-09,0.00010598398512229323,3.0749280778009108e-21
16,droplet,3m,24m,male,Kidney,nan,Gpx3,10877.5078125,0.017181411385536194,1.5795346826052992e-06,0.028276778757572174,1.1425769162025351e-93
