,Dataset,Start age,End age,Sex,Tissue,Subtissue,Cell type,Gene,dExpression,Confidence,Expression at start age,Expression at end age,Max expression std. dev
0,droplet,3m,24m,male,Spleen,nan,immature NKT cell,Rn45s,3.968276262283325,low,0.0019125038525089622,0.00048194825649261475,0.000347425346262753
1,droplet,3m,24m,male,Kidney,nan,macrophage,2610203C22Rik,0.0,low,1.2427148249116726e-05,6.762125508430472e-07,5.5411961511708796e-05
2,droplet,3m,24m,male,Kidney,nan,lymphocyte,LOC100039753,0.0,low,0.0,0.0,0.0
3,droplet,3m,24m,male,Kidney,nan,lymphocyte,Rbm31y,0.0,low,0.0,0.0,0.0
4,droplet,3m,24m,male,Kidney,nan,lymphocyte,LOC434960,0.0,low,0.0,0.0,0.0
5,droplet,3m,24m,male,Kidney,nan,lymphocyte,LOC380994,0.0,low,0.0,0.0,0.0
6,droplet,3m,24m,male,Kidney,nan,lymphocyte,LOC100041346,0.0,low,0.0,0.0,0.0
7,droplet,3m,24m,male,Kidney,nan,lymphocyte,Sly,0.0,low,0.0,0.0,0.0
8,droplet,3m,24m,male,Kidney,nan,lymphocyte,Erdr1,0.0,low,3.821082282229327e-05,1.1660741620289627e-05,6.740863318555057e-05
9,droplet,3m,24m,male,Kidney,nan,macrophage,Xkr4,0.0,low,0.0,0.0,0.0
10,droplet,3m,24m,male,Kidney,nan,macrophage,Rp1,0.0,low,0.0,0.0,0.0
11,droplet,3m,24m,male,Kidney,nan,macrophage,Sox17,0.0,low,2.9422901661746437e-06,0.0,1.8814565919456072e-05
12,droplet,3m,24m,male,Kidney,nan,macrophage,Mrpl15,0.0,low,4.73511427117046e-05,6.360038241837174e-05,0.00012149777467129752
13,droplet,3m,24m,male,Tongue,nan,keratinocyte,Erdr1,0.0,low,4.1876814066199586e-05,4.365102358860895e-05,0.000125218735774979
14,droplet,3m,24m,male,Kidney,nan,macrophage,Tcea1,0.0,low,7.662476127734408e-05,8.085875742835924e-05,0.00012058347056154162
15,droplet,3m,24m,male,Kidney,nan,macrophage,Rgs20,0.0,low,0.0,0.0,0.0
16,droplet,3m,24m,male,Kidney,nan,macrophage,Atp6v1h,0.0,low,3.325649959151633e-05,3.327348531456664e-05,7.387459481833503e-05
17,droplet,3m,24m,male,Kidney,nan,macrophage,Oprk1,0.0,low,0.0,0.0,0.0
18,droplet,3m,24m,male,Kidney,nan,macrophage,Npbwr1,0.0,low,0.0,0.0,0.0
19,droplet,3m,24m,male,Kidney,nan,macrophage,Rb1cc1,0.0,low,2.5709647161420435e-05,3.463754546828568e-05,9.212596341967583e-05
20,droplet,3m,24m,male,Kidney,nan,macrophage,Fam150a,0.0,low,0.0,0.0,0.0
21,droplet,3m,24m,male,Kidney,nan,macrophage,St18,0.0,low,0.0,0.0,0.0
22,droplet,3m,24m,male,Kidney,nan,macrophage,Pcmtd1,0.0,low,3.244935578550212e-05,3.435543112573214e-05,8.774527668720111e-05
23,droplet,3m,24m,male,Kidney,nan,macrophage,Sntg1,0.0,low,0.0,0.0,0.0
24,droplet,3m,24m,male,Kidney,nan,macrophage,Rrs1,0.0,low,1.6022997442632914e-05,2.9674003599211574e-05,7.952676241984591e-05
25,droplet,3m,24m,male,Kidney,nan,macrophage,Lypla1,0.0,low,3.367585668456741e-05,4.459682168089785e-05,8.224424527725205e-05
26,droplet,3m,24m,male,Kidney,nan,lymphocyte,Rbmy1a1,0.0,low,0.0,0.0,0.0
27,droplet,3m,24m,male,Kidney,nan,lymphocyte,Usp9y,0.0,low,0.0,0.0,0.0
28,droplet,3m,24m,male,Kidney,nan,lymphocyte,4933400A11Rik,0.0,low,0.0,0.0,0.0
29,droplet,3m,24m,male,Kidney,nan,lymphocyte,Tmsb4x,0.0,low,0.02540651522576809,0.01458846963942051,0.01559190358966589
30,droplet,3m,24m,male,Kidney,nan,lymphocyte,Tlr8,0.0,low,0.0,1.5943115272420982e-07,3.642120191216236e-06
31,droplet,3m,24m,male,Kidney,nan,lymphocyte,Tlr7,0.0,low,0.0,2.9699829156015767e-06,2.2682714188704267e-05
32,droplet,3m,24m,male,Kidney,nan,lymphocyte,Prps2,0.0,low,4.6616776671726257e-05,1.153962602984393e-05,8.95741832209751e-05
33,droplet,3m,24m,male,Kidney,nan,lymphocyte,Frmpd4,0.0,low,0.0,0.0,0.0
34,droplet,3m,24m,male,Kidney,nan,lymphocyte,Msl3,0.0,low,1.9542381778592244e-05,1.726389746181667e-05,4.544477997114882e-05
35,droplet,3m,24m,male,Kidney,nan,lymphocyte,Arhgap6,0.0,low,2.3409334062307607e-06,2.694082013476873e-06,1.916673318191897e-05
36,droplet,3m,24m,male,Kidney,nan,lymphocyte,Amelx,0.0,low,0.0,0.0,0.0
37,droplet,3m,24m,male,Kidney,nan,lymphocyte,Hccs,0.0,low,4.0657225326867774e-05,1.4850012121314649e-05,5.176401828066446e-05
38,droplet,3m,24m,male,Kidney,nan,lymphocyte,Mid1,0.0,low,1.0032103091361932e-05,3.5528432817955036e-07,4.3728938180720434e-05
39,droplet,3m,24m,male,Kidney,nan,lymphocyte,G530011O06Rik,0.0,low,8.227743819588795e-06,2.700348602502345e-07,3.586390084819868e-05
