,Dataset,Start age,End age,sex,tissue,subtissue,cell_ontology_class,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
0,facs,18m,24m,male,Diaphragm,Limb_Muscle,T cell,Mpo,416463.0,0.018219418823719025,4.374699003051319e-08,0.009715273045003414,2.8978210082615906e-13
1,facs,18m,24m,male,BAT,Fat,myeloid cell,Ldhc,30081.47265625,1.0573597997165507e-08,0.0003180994826834649,0.000731860229279846,1.7215763612974926e-12
2,facs,18m,24m,male,BAT,Fat,myeloid cell,Zg16,19281.7890625,3.849882634909818e-09,7.425191142829135e-05,0.00020292932458687574,1.0088478866974382e-07
3,facs,18m,24m,male,BAT,Fat,myeloid cell,Acta1,17525.16015625,1.2450494857318972e-08,0.00021821445261593908,0.0005754301673732698,1.171919408055568e-08
4,facs,18m,24m,male,BAT,Fat,myeloid cell,Clu,14392.4951171875,1.796608195547833e-08,0.0002585911424830556,0.0007744543254375458,6.375338893940647e-06
5,facs,18m,24m,male,Diaphragm,Limb_Muscle,T cell,Elane,8928.919921875,0.0031548491679131985,3.533283177148405e-07,0.002089970512315631,2.3981958550360795e-07
6,facs,18m,24m,male,Diaphragm,Limb_Muscle,macrophage,Stmn1,6351.826171875,0.0007255300297401845,1.1422284273976402e-07,0.0006205426179803908,4.910296925193524e-08
7,facs,18m,24m,male,Pancreas,Exocrine,leukocyte,Hdlbp,5939.20751953125,0.0001354433043161407,2.2803945398663927e-08,3.499756712699309e-05,3.4133721356291147e-06
8,facs,18m,24m,male,BAT,Fat,myeloid cell,Gkn1,3754.27978515625,5.1570118841937074e-08,0.00019361240265425295,0.0005102173890918493,1.1530336171408315e-08
9,facs,18m,24m,male,Diaphragm,Limb_Muscle,macrophage,Rfc2,3627.27880859375,0.0004143217229284346,1.1422284273976402e-07,0.00037605196121148765,9.804528696446228e-07
10,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,6330406I15Rik,3281.139404296875,0.0001911202271003276,5.82471280097252e-08,0.00026393591542728245,1.5803590763774474e-09
11,facs,18m,24m,male,Pancreas,Exocrine,leukocyte,Dpm1,3133.759765625,7.14652196620591e-05,2.2803945398663927e-08,1.7566524547873996e-05,3.907037290726484e-07
12,facs,18m,24m,male,Diaphragm,Limb_Muscle,T cell,Sept2,2778.41162109375,0.0007384879281744361,2.6579400014270504e-07,0.0005205267225392163,4.520066830741186e-06
13,facs,18m,24m,male,Diaphragm,Limb_Muscle,macrophage,Cd24a,1525.719482421875,0.0005809491849504411,3.807696487001522e-07,0.0005027130246162415,9.330289755824034e-08
14,facs,18m,24m,male,BAT,Fat,myeloid cell,Cryba1,1216.45068359375,2.4892989358704654e-07,0.00030281214276328683,0.0008446827996522188,2.374878693793437e-07
15,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Tspan11,1145.8438720703125,0.0004870518750976771,4.2505854480623384e-07,0.0004931099247187376,9.053635037238078e-21
16,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Pdlim1,1105.71142578125,0.00017111162014771253,1.547515182664938e-07,3.738513623829931e-05,4.681842520637054e-10
17,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Plod3,1008.317138671875,9.194196172757074e-05,9.118257082718628e-08,0.00014958267274778336,7.866479206190716e-06
18,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Ptpra,986.6050415039062,0.0001526796113466844,1.547515182664938e-07,3.377893517608754e-05,1.0385684671854922e-09
19,facs,18m,24m,male,BAT,Fat,myeloid cell,Sparc,981.08349609375,4.054834050748468e-07,0.0003978140593972057,0.0011286615626886487,5.499083770295257e-07
20,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Cd27,899.2661743164062,0.0002411329187452793,2.681431112705468e-07,2.3775452064001e-05,5.959462531356527e-63
21,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Dynlt3,844.70849609375,0.00010690915223676711,1.2656236947350408e-07,0.0001645846205065027,6.257195339007069e-07
22,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Clns1a,822.1781005859375,0.00022046221420168877,2.681431112705468e-07,5.081414565211162e-05,1.110249991577445e-08
23,facs,18m,24m,male,BAT,Fat,myeloid cell,Lars2,785.8449096679688,1.5740952221676707e-05,0.01236994843930006,0.01791331358253956,7.59315651889293e-37
24,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Hsd3b7,752.0015258789062,0.0002016447833739221,2.681431112705468e-07,3.1053928069013637e-06,0.0
25,facs,18m,24m,male,BAT,Fat,myeloid cell,Tcp11,726.2045288085938,1.733171473006223e-07,0.00012586441880557686,0.0003590930427890271,7.819508444741805e-07
26,facs,18m,24m,male,Heart,LV,B cell,Tmem14c,597.7067260742188,6.825472382843145e-07,0.00040796370012685657,0.00036675139563158154,2.2162477617161193e-10
27,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Bscl2,539.5918579101562,0.00012369929754640907,2.2924504605725815e-07,0.00017957673117052764,3.1750466844345536e-08
28,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Synj2bp,490.39935302734375,7.377718429779634e-05,1.504420765741088e-07,0.00010920545173576102,1.0535771814099935e-07
29,facs,18m,24m,male,BAT,Fat,myeloid cell,Cela1,487.5881042480469,3.7315538747861865e-07,0.00018194661242887378,0.0005122917355038226,4.1118355938181937e-07
30,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Tacstd2,460.68017578125,0.00012352867634035647,2.681431112705468e-07,5.152310677658534e-06,0.0
31,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Dnajc2,455.53509521484375,0.0001221490529133007,2.681431112705468e-07,8.840168447932228e-06,1.7709020724899692e-115
32,facs,18m,24m,male,BAT,Fat,myeloid cell,Klk1,429.8600158691406,2.409183252893854e-07,0.00010356158600188792,0.00029141022241674364,4.3798619360009386e-07
33,facs,18m,24m,male,Spleen,nan,B cell,Ins1,386.1202697753906,3.602126597002098e-08,1.3908926121075638e-05,2.3468961444450542e-05,2.5923932241326846e-21
34,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Ppil4,368.2153625488281,8.547319885110483e-05,2.321272773997407e-07,2.2485724912257865e-05,9.09197988606094e-06
35,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Nfe2l1,355.1758117675781,5.545794192585163e-05,1.5614122617080284e-07,9.012900409288704e-05,9.898770816573509e-06
36,facs,18m,24m,male,GAT,Fat,myeloid cell,Gm6981,302.9464416503906,6.799111673672087e-08,2.059797043330036e-05,2.5433819246245548e-05,2.5238810993217947e-15
37,facs,18m,24m,male,SCAT,Fat,epithelial cell,Sepp1,298.5081481933594,3.2969087442324962e-06,0.0009841544087976217,0.0014542111894115806,9.52094897348358e-06
38,facs,18m,24m,male,Spleen,nan,B cell,Ins2,297.3625793457031,7.696268511381277e-08,2.288612085976638e-05,3.736451981239952e-05,7.112444430893503e-38
39,facs,18m,24m,male,Heart,LV,B cell,Egr1,240.0139923095703,0.0012164164800196886,5.068105565442238e-06,0.0012305865529924631,9.086800497393985e-07
40,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Shmt2,213.06256103515625,0.00021431663481052965,1.0058848829430644e-06,3.7119501939741895e-05,6.796837629036997e-18
41,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Scara3,203.52337646484375,0.0002314538141945377,1.1372335393389221e-06,0.00031594219035468996,1.0570507959783476e-09
42,facs,18m,24m,male,Pancreas,Exocrine,pancreatic stellate cell,Tmem126a,185.85577392578125,0.00010794278932735324,5.807868888041412e-07,3.198534977855161e-05,4.880296692363232e-11
43,facs,18m,24m,male,Diaphragm,Limb_Muscle,macrophage,Ran,184.93284606933594,0.0008106400491669774,4.383428404253209e-06,0.0006801796844229102,2.3502055958575432e-08
44,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Rbm7,180.29808044433594,4.834586798097007e-05,2.681431112705468e-07,5.443544068839401e-06,2.2204346561660066e-42
45,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,1110057K04Rik,161.76339721679688,4.337590144132264e-05,2.681431112705468e-07,1.0274943633703515e-05,1.3490506547584945e-07
46,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Casp8,161.53472900390625,0.00016248550673481077,1.0058848829430644e-06,1.0254399967379868e-05,2.7421629098872156e-150
47,facs,18m,24m,male,GAT,Fat,B cell,Gm6981,156.5609588623047,1.1560442203517596e-07,1.8099295630236156e-05,2.475477594998665e-05,1.6365842161593814e-08
48,facs,18m,24m,male,BAT,Fat,myeloid cell,Gstm5,150.32467651367188,1.7025859051500447e-06,0.0002559408312663436,0.000664006220176816,7.219484173134723e-09
49,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Fam3c,147.6122283935547,6.261006637942046e-05,4.2415132384121534e-07,9.014701936393976e-05,3.6782690581401324e-08
50,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Tpp1,145.98582458496094,0.00010130861483048648,6.939609420442139e-07,0.00016157093341462314,4.369249701363765e-06
51,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Gas1,139.64031982421875,0.00039627490332350135,2.837824922607979e-06,0.000544836453627795,1.824044166522674e-09
52,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Snapc2,139.1177520751953,5.38218482688535e-05,3.868788098770892e-07,1.0855776963580865e-05,8.204700217378154e-12
53,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Lrrc17,137.106201171875,0.0001593702909303829,1.1623847058217507e-06,0.00023321309708990157,6.686321395429481e-08
54,facs,18m,24m,male,Tongue,nan,basal cell of epidermis,Cyp2f2,130.71543884277344,1.1805095709860325e-06,0.00015431095380336046,0.0005227444344200194,1.6133234238334528e-11
55,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Cdc123,125.77259063720703,0.00014389150601346046,1.1440598655099166e-06,0.00020335520093794912,1.06144673853512e-08
56,facs,18m,24m,male,BAT,Fat,myeloid cell,Apoa2,125.16078186035156,1.0439708830745076e-06,0.0001306643389398232,0.00033135857665911317,2.3247888628296443e-09
57,facs,18m,24m,male,Heart,RV,atrial myocyte,Snca,116.47969055175781,0.011833259835839272,0.00010159075463889167,0.00143025116994977,8.18909130027858e-68
58,facs,18m,24m,male,MAT,Fat,"CD4-positive, alpha-beta T cell",A130040M12Rik,115.77722930908203,1.9049132333748275e-06,0.0002205456985393539,0.00024584372295066714,4.579571236157349e-06
59,facs,18m,24m,male,BAT,Fat,myeloid cell,Ropn1l,113.11424255371094,6.589492613784387e-07,7.453666330548003e-05,0.00020845411927439272,5.416209728743149e-07
60,facs,18m,24m,male,GAT,Fat,mesenchymal stem cell of adipose,A130040M12Rik,112.94178009033203,3.344890728840255e-06,0.00037777802208438516,0.0004975713090971112,6.095058859923122e-51
61,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Agpat5,111.73849487304688,3.4583514207042754e-05,3.095030365329876e-07,8.048769814195111e-06,1.0209488219723333e-07
62,facs,18m,24m,male,GAT,Fat,B cell,A130040M12Rik,108.42301940917969,5.624684717986383e-07,6.098464291426353e-05,9.867386688711122e-05,1.1784270694332364e-06
63,facs,18m,24m,male,Pancreas,Endocrine,pancreatic PP cell,BC005561,100.93986511230469,9.0335204731673e-05,8.949397738433618e-07,1.8180351617047563e-05,5.4469364007438286e-12
64,facs,18m,24m,male,Pancreas,Exocrine,pancreatic B cell,Tab2,97.77722930908203,3.28491696564015e-05,3.359583047313208e-07,7.2099755925592035e-06,9.553017390604043e-13
65,facs,18m,24m,male,Marrow,Granulocytes,promonocyte,Slamf9,96.66190338134766,1.5472747918465757e-06,0.00014956262020859867,0.000343439111020416,1.235427329686041e-06
66,facs,18m,24m,male,Marrow,B-cells,naive B cell,Gm6981,92.95599365234375,1.9430954978361115e-07,1.8062330127577297e-05,6.002356167300604e-05,3.5191940504178186e-07
67,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Csf1,89.30532836914062,8.978187543107197e-05,1.0053350933958427e-06,0.00013117949129082263,9.370447811721451e-08
68,facs,18m,24m,male,Heart,LV,B cell,Emp3,88.91219329833984,1.3366356142796576e-05,0.0011884320992976427,0.0010550606530159712,1.927198583365146e-10
69,facs,18m,24m,male,Diaphragm,Limb_Muscle,macrophage,Eif3c,84.24821472167969,0.00023496442008763552,2.788953452181886e-06,0.00021956372074782848,6.683316709123762e-06
70,facs,18m,24m,male,Marrow,KLS,hematopoietic stem cell,Car1,83.97500610351562,6.646962447121041e-06,0.00055817881366238,0.002626443048939109,3.3251468626937623e-07
71,facs,18m,24m,male,Skin,nan,epidermal cell,Tspan31,82.12023162841797,1.3050403140368871e-06,0.00010717029363149777,0.00014260770694818348,4.864568898457742e-07
72,facs,18m,24m,male,SCAT,Fat,epithelial cell,Lars2,80.82654571533203,4.50539755547652e-06,0.0003641557996161282,0.0003107999509666115,2.265757445571388e-23
73,facs,18m,24m,male,Heart,LA,macrophage,Rplp1,75.21009063720703,0.0006761674303561449,8.990380592877045e-06,0.0004032818542327732,4.3901421393757563e-07
74,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Cct6a,69.87955474853516,0.000281163229374215,4.023539531772258e-06,3.956514046876691e-05,1.2168598167353535e-27
75,facs,18m,24m,male,Trachea,nan,T cell,Gm6981,69.25374603271484,4.198096803520457e-07,2.9073462428641506e-05,3.972609920310788e-05,1.0344841032136384e-09
76,facs,18m,24m,male,Diaphragm,Limb_Muscle,macrophage,Sept2,68.96617889404297,0.0010786604834720492,1.5640425772289746e-05,0.0008406091365031898,6.052409086890814e-10
77,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Fkbp3,67.63428497314453,0.00012559816241264343,1.8570182191979256e-06,3.0340323064592667e-05,3.5673762568275855e-07
78,facs,18m,24m,male,Lung,EPCAM,myeloid dendritic cell,Gm6981,63.17158126831055,2.2074658545534476e-07,1.3944973943580408e-05,2.1756324713351205e-05,5.727355738352321e-09
79,facs,18m,24m,male,Marrow,B-cells,naive B cell,Apobec2,62.2618293762207,5.838493848386861e-07,3.635159373516217e-05,0.00013155140914022923,1.547764453861991e-06
80,facs,18m,24m,male,BAT,Fat,myeloid cell,Tpm1,61.304931640625,6.296689207374584e-06,0.0003860181604977697,0.000919690472073853,7.34347319708896e-11
81,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Sdf2l1,61.1461181640625,0.00029173813527449965,4.771162821270991e-06,0.0003615587193053216,6.773294872586636e-12
82,facs,18m,24m,male,Heart,LV,B cell,Rap1a,60.336944580078125,7.3528453867766075e-06,0.0004436482849996537,0.0004303873865865171,5.892660409119393e-08
83,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,2810002N01Rik,57.751792907714844,3.0971550586400554e-05,5.362862225410936e-07,3.4481461170798866e-06,2.6549474238854477e-35
84,facs,18m,24m,male,BAT,Fat,NK cell,Sdhb,56.89902114868164,0.000449932471383363,7.907559847808443e-06,0.00015038051060400903,2.0985956533050854e-09
85,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Secisbp2l,55.50638961791992,8.654438715893775e-05,1.5591778037560289e-06,0.00013020132610108703,7.127523167850217e-07
86,facs,18m,24m,male,SCAT,Fat,epithelial cell,Tmbim6,55.29220962524414,8.510195584676694e-06,0.00047054755850695074,0.0005837261560373008,4.642970943070197e-09
87,facs,18m,24m,male,Tongue,nan,basal cell of epidermis,Osr2,54.576473236083984,5.786948804598069e-07,3.158318213536404e-05,0.00012119579332647845,3.23333102495427e-07
88,facs,18m,24m,male,Heart,LV,B cell,Tmbim4,54.21419906616211,4.3582331272773445e-06,0.00023627816699445248,0.000249593926128,3.7887503042505347e-06
89,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Actr1a,49.791927337646484,7.884711521910504e-05,1.5835311160117271e-06,1.2354802493064199e-05,6.764974740589099e-21
90,facs,18m,24m,male,Heart,LA,macrophage,Psmb5,49.469871520996094,0.001074556028470397,2.1721421944675967e-05,0.0005612924578599632,6.338704074865606e-10
91,facs,18m,24m,male,Aorta,Heart,fibroblast of cardiac tissue,Tmem9b,49.29201889038086,0.00020886246056761593,4.237246230331948e-06,0.00021052559895906597,1.9259040283706535e-19
