,Dataset,Start age,End age,sex,tissue,subtissue,Gene,dExpression,Expression at start age,Expression at end age,Max expression std. dev,Confidence (p-value)
0,facs,3m,18m,male,Large_Intestine,Distal,Rps4y2,11934.9951171875,2.7782743927673437e-05,2.326838721700142e-09,7.084436947479844e-05,9.073220850281384e-18
1,facs,3m,18m,female,Large_Intestine,Proximal,Rps4y2,6333.8701171875,6.688557914458215e-05,1.05589856858046e-08,0.0001741950400173664,2.699016913588288e-34
2,facs,3m,18m,female,Mammary_Gland,Mammary_Gland,Serpinb11,328.9377746582031,2.171832056774292e-05,6.602461866123122e-08,0.00013520591892302036,4.238649563279062e-06
3,facs,3m,18m,male,Marrow,B-cells,Cebpe,302.1950378417969,4.099701413906587e-07,0.00012389123730827123,0.00037859182339161634,8.505990373541754e-12
4,facs,3m,18m,female,SCAT,Fat,Folr2,230.65805053710938,0.0002761983487289399,1.1974353810728644e-06,0.0010726479813456535,1.0658017995456782e-07
5,facs,3m,18m,male,Aorta,Heart,Ehd3,196.2759246826172,0.0013495043385773897,6.875546205264982e-06,0.0025490319821983576,2.898817833516924e-13
6,facs,3m,18m,male,MAT,Fat,Lars2,141.56532287597656,0.0016638500383123755,1.1753230864997022e-05,0.001246169675141573,4.567326477920854e-243
7,facs,3m,18m,male,Large_Intestine,Proximal,Rps4y2,118.40324401855469,3.2737996662035584e-05,2.7649477374325215e-07,8.318154141306877e-05,1.074079875035815e-31
8,facs,3m,18m,male,Marrow,B-cells,Camp,116.50568389892578,6.454961112467572e-05,0.00752039672806859,0.022367259487509727,1.5568022243256627e-12
9,facs,3m,18m,male,Trachea,nan,Klhl2,113.31354522705078,1.9188559235772118e-05,1.6933938695729012e-07,6.412332731997594e-05,8.221743854910476e-09
10,facs,3m,18m,female,Marrow,KLS,Plscr2,102.41734313964844,4.0357954844694177e-07,4.133364564040676e-05,9.205195237882435e-05,4.0363671144614123e-20
11,facs,3m,18m,female,Heart,LA,Scara5,96.20556640625,0.00015954350237734616,1.658359337852744e-06,0.00037587605766020715,9.825992026763126e-28
