,dataset,start_age,end_age,sex,tissue,subtissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,facs,3m,24m,male,BAT,Fat,Spt1,17.31181526184082,6.733756663379609e-09,0.0010957146296277642,0.0035212980583310127,2.722388209195923e-14
1,facs,3m,24m,male,BAT,Fat,Upk1a,16.728519439697266,1.3503443918594371e-09,0.0001467411930207163,0.0006037256680428982,2.569375267702447e-07
2,facs,3m,24m,male,Liver,Hepatocytes,Gm11428,15.787020683288574,6.501313709605938e-09,0.0003676501801237464,0.0008898014202713966,1.4009067660347243e-06
3,facs,3m,24m,male,Liver,Hepatocytes,Vsig4,15.409947395324707,2.2805055621688552e-08,0.0009929024381563067,0.0021960290614515543,1.3983886345776335e-08
4,facs,3m,24m,male,Liver,Hepatocytes,Cybb,14.545760154724121,6.759796722377587e-09,0.00016169928130693734,0.00036829643067903817,7.240672015713914e-08
5,facs,3m,24m,male,BAT,Fat,Abpg,14.333910942077637,4.591869551262562e-09,9.48464876273647e-05,0.0003453550161793828,2.976659989482034e-10
6,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,Scaf8,-14.295818328857422,1.979367880267091e-05,9.831387925984814e-10,6.60820078337565e-05,1.7025841266689775e-09
7,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,Nxph1,-14.152928352355957,9.921174205373973e-05,5.4453694886547055e-09,0.0003724387497641146,1.4463907406671162e-08
8,facs,3m,24m,male,Brain_Myeloid,Hippocampus,Hist1h3e,-14.142927169799805,5.313868314260617e-05,2.936415111065571e-09,0.00016038017929531634,6.149238231485762e-10
9,facs,3m,24m,male,BAT,Fat,Car6,14.044962882995605,9.183739102525124e-09,0.00015524654008913785,0.0006300217937678099,1.2797539242039576e-07
10,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,Dclre1b,-13.947189331054688,2.2854730559629388e-05,1.445950914558125e-09,9.25874337553978e-05,4.937545699663007e-06
11,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,Arhgef19,-13.622991561889648,3.3613490813877434e-05,2.663308018568955e-09,0.00011575946700759232,4.038387370808842e-10
12,facs,3m,24m,male,Liver,Hepatocytes,Fcna,13.61082935333252,3.505960322058854e-08,0.0004386188229545951,0.001032239873893559,3.6633325596246546e-07
13,facs,3m,24m,male,Liver,Hepatocytes,Emr1,13.433075904846191,3.270131188060077e-08,0.0003616905305534601,0.0008938782848417759,3.649455368607526e-06
14,facs,3m,24m,male,Liver,Hepatocytes,Timd4,13.266735076904297,1.7461289303355443e-08,0.00017210219812113792,0.00041362864430993795,1.0437474921901822e-06
15,facs,3m,24m,male,BAT,Fat,Sprr1a,13.146492004394531,3.4911415980332094e-08,0.0003165688831359148,0.0011171767255291343,3.094511787530173e-11
16,facs,3m,24m,male,BAT,Fat,Prss22,12.886773109436035,1.0619031876046847e-08,8.04323935881257e-05,0.0003434591635596007,1.7343583737901165e-06
17,facs,3m,24m,male,Liver,Hepatocytes,Folr2,12.81425952911377,2.7322277773578207e-08,0.00019679278193507344,0.0004510768922045827,9.954746498553619e-08
18,facs,3m,24m,male,Liver,Hepatocytes,Cd300a,12.542015075683594,1.6504966282582245e-08,9.843822044786066e-05,0.00023288858938030899,5.34980077297374e-07
19,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,Fam59a,-12.362798690795898,2.7911128199775703e-05,5.29812416161235e-09,8.492235792800784e-05,2.4094607149595712e-08
20,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,Baat1,-12.352303504943848,2.9291335522430018e-05,5.600769625857538e-09,9.810499614104629e-05,1.915900588417207e-06
21,facs,3m,24m,male,Liver,Hepatocytes,Vcam1,12.315351486206055,5.124027069314252e-08,0.0002611620584502816,0.0006601508939638734,9.8754242641006e-06
22,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,Tarsl2,-12.257173538208008,2.7422187486081384e-05,5.600769625857538e-09,7.324156467802823e-05,1.6199216325972356e-11
23,facs,3m,24m,male,Liver,Hepatocytes,Epb4.1l3,12.236006736755371,8.028461451203839e-09,3.873391688102856e-05,9.38664234126918e-05,2.992880130861734e-06
24,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,Rab33a,-12.145166397094727,4.4617838284466416e-05,9.849293824970573e-09,0.00011503754649311304,8.350809263981138e-21
25,facs,3m,24m,male,BAT,Fat,Serpinb5,12.039828300476074,9.423458458002187e-09,3.968313831137493e-05,0.00015858940605539829,1.3026042000574407e-07
26,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,Nfe2l3,-11.896946907043457,2.6531590265221894e-05,6.956057063689514e-09,7.252849900396541e-05,8.332839119903306e-11
27,facs,3m,24m,male,Liver,Hepatocytes,Itgb2,11.860474586486816,4.9978520877402843e-08,0.00018584491044748574,0.0004321364394854754,2.0928285266457734e-07
28,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,Uros,-11.799605369567871,2.373895767959766e-05,6.658269935400085e-09,9.450023935642093e-05,2.1046009862335906e-06
29,facs,3m,24m,male,BAT,Fat,Wfdc12,11.608185768127441,9.71717639686176e-09,3.0338685974129476e-05,0.00012498720025178045,9.521843521868155e-07
30,facs,3m,24m,male,BAT,Fat,Cldn4,11.42136001586914,1.0906546066280498e-07,0.0002991322835441679,0.0010688832262530923,7.287458414615852e-11
31,facs,3m,24m,male,Liver,Hepatocytes,Cfp,11.311430931091309,2.7411738301452715e-07,0.0006966555374674499,0.001520568155683577,6.773773990547996e-09
32,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,Dis3l,-11.283015251159668,1.8933946194010787e-05,7.597277473792019e-09,7.281896978383884e-05,1.5040249640305362e-06
33,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,Bicd1,-11.230935096740723,3.5447348636807874e-05,1.474707378434914e-08,0.00010670445772120729,3.757273749467128e-14
