,dataset,start_age,end_age,sex,tissue,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value
0,facs,3m,24m,male,BAT,Spt1,17.31181526184082,6.733756663379609e-09,0.0010957146296277642,0.0035212980583310127,2.722388209195923e-14
1,facs,3m,24m,male,BAT,Upk1a,16.728519439697266,1.3503443918594371e-09,0.0001467411930207163,0.0006037256680428982,2.569375267702447e-07
2,facs,3m,24m,male,BAT,Abpg,14.333910942077637,4.591869551262562e-09,9.48464876273647e-05,0.0003453550161793828,2.976659989482034e-10
3,facs,3m,24m,male,BAT,Car6,14.044962882995605,9.183739102525124e-09,0.00015524654008913785,0.0006300217937678099,1.2797539242039576e-07
4,facs,3m,24m,male,BAT,Sprr1a,13.146492004394531,3.4911415980332094e-08,0.0003165688831359148,0.0011171767255291343,3.094511787530173e-11
5,facs,3m,24m,male,BAT,Prss22,12.886773109436035,1.0619031876046847e-08,8.04323935881257e-05,0.0003434591635596007,1.7343583737901165e-06
6,facs,3m,24m,male,Brain_Non-Myeloid,S1pr2,-12.262028694152832,1.3589890841103625e-05,2.7657982570872264e-09,8.290378173114732e-05,7.358012568593889e-08
7,facs,3m,24m,male,BAT,Serpinb5,12.039828300476074,9.423458458002187e-09,3.968313831137493e-05,0.00015858940605539829,1.3026042000574407e-07
8,facs,3m,24m,male,BAT,Wfdc12,11.608185768127441,9.71717639686176e-09,3.0338685974129476e-05,0.00012498720025178045,9.521843521868155e-07
9,facs,3m,24m,male,BAT,Cldn4,11.42136001586914,1.0906546066280498e-07,0.0002991322835441679,0.0010688832262530923,7.287458414615852e-11
10,facs,3m,24m,male,BAT,Apoa4,11.142901420593262,3.886870558744704e-08,8.789391722530127e-05,0.0003686060954350978,7.368145529169336e-07
11,facs,3m,24m,male,BAT,Actc1,10.94880199432373,4.3765123081129786e-08,8.650794188724831e-05,0.00033566312049515545,1.3678675864691728e-08
12,facs,3m,24m,male,BAT,Tnnt2,10.8895902633667,6.658297735384622e-08,0.00012631737627089024,0.0004478378687053919,4.901733886783196e-11
13,facs,3m,24m,male,BAT,Fabp2,10.616621971130371,1.1967286184244585e-07,0.0001878975162981078,0.0006716116913594306,7.861214287180333e-11
14,facs,3m,24m,male,SCAT,Car6,10.510029792785645,5.2385331628101994e-08,7.639276009285823e-05,0.0003676977357827127,8.982013839748307e-06
15,facs,3m,24m,male,BAT,Krt23,10.481549263000488,6.789036888221744e-08,9.706780838314444e-05,0.00040496859583072364,5.661564771393473e-07
16,facs,3m,24m,male,SCAT,Apoa1,10.366509437561035,1.2066301735558227e-07,0.0001592971821082756,0.0007681740098632872,8.638688901365386e-06
17,facs,3m,24m,male,BAT,Wfdc2,10.10728645324707,2.074867495593935e-07,0.0002288699324708432,0.0008276984444819391,1.6855306987755473e-10
18,facs,3m,24m,male,BAT,Krt19,9.997464179992676,1.8499819987027877e-07,0.00018910654762294143,0.0006655729375779629,2.8529410403378506e-11
19,facs,3m,24m,male,BAT,Pla2g1b,9.874733924865723,3.6101770461982596e-08,3.3894677471835166e-05,0.00013424520147964358,1.1920433599542721e-07
20,facs,3m,24m,male,BAT,Tnni3,9.787363052368164,1.2270668037217547e-07,0.00010843299969565123,0.0004362789914011955,9.220303206995111e-08
21,facs,3m,24m,male,BAT,Oaz3,9.671533584594727,1.0452171750330308e-07,8.523785072611645e-05,0.0003775513614527881,9.044312363328966e-06
22,facs,3m,24m,male,BAT,Myh6,9.65658950805664,5.070024755582381e-08,4.092058225069195e-05,0.00017954103532247245,9.256221171099836e-06
23,facs,3m,24m,male,BAT,Gsta4,9.654804229736328,5.958534075034549e-07,0.0004803145711775869,0.0017121249111369252,6.477417360768786e-11
24,facs,3m,24m,male,BAT,Krt7,9.604046821594238,4.850217010243796e-07,0.00037745770532637835,0.0012872214429080486,3.0089423542001704e-12
25,facs,3m,24m,male,BAT,Mb,9.581130027770996,6.833047905274725e-08,5.233936826698482e-05,0.000218921311898157,8.877278737318631e-07
26,facs,3m,24m,male,BAT,Fxyd3,9.545890808105469,5.5997904979676605e-08,4.185806028544903e-05,0.000161698495503515,2.2062360456425776e-08
27,facs,3m,24m,male,BAT,Krt18,9.523700714111328,4.847335048907553e-07,0.00035679881693795323,0.0011845242697745562,4.089292248985627e-13
28,facs,3m,24m,male,BAT,Igfbp2,9.518767356872559,3.9917438243719516e-07,0.00029281829483807087,0.0010574086336418986,1.557797213434349e-10
29,facs,3m,24m,male,BAT,Acta1,9.497871398925781,1.3931369835518126e-07,0.00010072591248899698,0.00040557238389737904,9.880826472469386e-08
30,facs,3m,24m,male,Thymus,Cyp4f18,9.480472564697266,1.0869906930111028e-07,7.764910697005689e-05,0.00031486101215705276,1.2860458101185236e-12
31,facs,3m,24m,male,BAT,Clps,9.349535942077637,2.1032589359037956e-07,0.00013720996503252536,0.00047387101221829653,8.513696532316148e-12
32,facs,3m,24m,male,SCAT,Cryaa,8.971229553222656,4.772104489347839e-07,0.00023950800823513418,0.0011532893404364586,8.405731114654473e-06
33,facs,3m,24m,male,BAT,Elf3,8.77323055267334,2.2902979424088699e-07,0.00010020734771387652,0.0004429239488672465,8.353112625775676e-06
34,facs,3m,24m,male,BAT,Tnp2,8.76394271850586,1.500489901218316e-07,6.522970943478867e-05,0.00023839437926653773,5.568636404128088e-10
35,facs,3m,24m,male,Lung,Itgae,8.723567962646484,6.349655734538828e-08,2.6841853468795307e-05,0.00014515123621094972,3.3651743877212744e-09
36,facs,3m,24m,male,GAT,Crispld1,-8.65281867980957,3.994962389697321e-05,9.925452815195968e-08,0.000174574859556742,2.242500623862801e-06
37,facs,3m,24m,male,BAT,Ctrb1,8.627448081970215,5.805949854220671e-07,0.0002296120801474899,0.0008349805139005184,2.668935730041018e-10
38,facs,3m,24m,male,BAT,Try4,8.562520980834961,4.5643443513654347e-07,0.0001725659385556355,0.0005883651319891214,3.5157711016097035e-12
39,facs,3m,24m,male,BAT,Krt15,8.480878829956055,1.942192511705798e-06,0.0006938912556506693,0.0022924491204321384,3.0926467947096287e-13
40,facs,3m,24m,male,BAT,Foxq1,8.13361644744873,6.110913659540529e-07,0.0001716205442789942,0.0007019427721388638,2.2639711354776482e-07
41,facs,3m,24m,male,BAT,Pnlip,8.130106925964355,1.1056209814341855e-06,0.0003097509907092899,0.0011026604333892465,7.054080934720363e-11
42,facs,3m,24m,male,BAT,Krt8,8.097217559814453,1.4616176713388995e-06,0.00040025761700235307,0.0011992501094937325,8.208331948601536e-17
43,facs,3m,24m,male,Large_Intestine,Rps4y2,-8.05788516998291,3.0934046662878245e-05,1.1608278072117173e-07,7.894958253018558e-05,1.1268769900068568e-46
44,facs,3m,24m,male,BAT,Reg3g,7.9725165367126465,1.0111499193499185e-07,2.5397232093382627e-05,0.0001050629434757866,2.257089921922664e-06
45,facs,3m,24m,male,BAT,Myl2,7.715734958648682,2.410960178167443e-07,5.068267273600213e-05,0.00018919944704975933,3.1232582687499198e-09
46,facs,3m,24m,male,BAT,Try5,7.63301420211792,4.418769776748377e-07,8.77139245858416e-05,0.0003314926289021969,3.984188706064034e-09
47,facs,3m,24m,male,BAT,Krt5,7.563215255737305,9.669817018220783e-07,0.00018288299906998873,0.0007853546994738281,2.4961674085209814e-06
48,facs,3m,24m,male,BAT,Kcnk1,7.532110691070557,3.5722274560612277e-07,6.611979915760458e-05,0.0002547863114159554,1.4682177511486097e-08
49,facs,3m,24m,male,BAT,Fhl4,7.4915618896484375,4.6595818048444926e-07,8.38557243696414e-05,0.00036425102734938264,4.805847162659286e-06
50,facs,3m,24m,male,Lung,Hepacam2,7.453573226928711,1.6453810758321197e-07,2.884152127080597e-05,0.0001274711248697713,6.382780352255608e-15
51,facs,3m,24m,male,BAT,Cpb1,7.443154335021973,3.947733944187348e-07,6.870077777421102e-05,0.000272781471721828,7.089666740547033e-08
52,facs,3m,24m,male,BAT,Cryba1,7.437232494354248,8.056076694629155e-07,0.00013962210505269468,0.0005930974730290473,1.6241523516512871e-06
53,facs,3m,24m,male,BAT,Cpa1,7.4332756996154785,3.8817324821138754e-07,6.709121953463182e-05,0.0002951699716504663,8.97640683480316e-06
54,facs,3m,24m,male,Bladder,Myh11,-7.2775654792785645,2.8796390324714594e-05,1.8559670422746422e-07,9.609210974304006e-05,1.8770988198659085e-13
55,facs,3m,24m,male,Thymus,Hes1,7.25045108795166,2.615765879454557e-07,3.982940688729286e-05,0.00019202679686713964,1.5790712876723003e-07
56,facs,3m,24m,male,BAT,Reg3b,7.231576919555664,3.156937395942805e-07,4.744483521790244e-05,0.00019285058078821748,3.3045460502810003e-07
57,facs,3m,24m,male,BAT,Acaa1b,7.226546287536621,5.720044100598898e-07,8.566578617319465e-05,0.00031926989322528243,2.0231280339465456e-09
58,facs,3m,24m,male,SCAT,Try4,7.03328800201416,1.0894021897911443e-06,0.00014269849634729326,0.0006826927419751883,8.50505208028029e-06
59,facs,3m,24m,male,Heart,Zbtb32,6.9789719581604,2.7935928414990485e-07,3.524070780258626e-05,0.0002485821314621717,1.8281676747084302e-09
60,facs,3m,24m,male,Thymus,Krt15,6.963870048522949,2.3736113234917866e-06,0.0002963080769404769,0.0015575741417706013,4.625053191565139e-06
61,facs,3m,24m,male,BAT,Scgb1a1,6.9199419021606445,7.899768661445705e-07,9.565880463924259e-05,0.0003369906626176089,6.212727852814221e-11
62,facs,3m,24m,male,BAT,Aldh3a1,6.891606330871582,1.5537249282715493e-06,0.00018448229820933193,0.0007279133424162865,4.6076948976125705e-08
63,facs,3m,24m,male,Bladder,Actg2,-6.667366027832031,7.219114195322618e-05,7.102415793269756e-07,0.0002668265369720757,1.8805863861570605e-11
64,facs,3m,24m,male,SCAT,Pnlip,6.606770038604736,1.3115148931319709e-06,0.00012782316480297595,0.0005989376804791391,3.896575840107763e-06
65,facs,3m,24m,male,Heart,2010001M09Rik,6.564953804016113,6.799136826884933e-07,6.437281263060868e-05,0.00041178325773216784,1.2834883710266505e-12
66,facs,3m,24m,male,BAT,Tcp11,6.491921424865723,6.449483294090896e-07,5.8048186474479735e-05,0.0002517735701985657,6.897520410077131e-06
67,facs,3m,24m,male,BAT,Cela2a,6.410321235656738,1.435356921319908e-06,0.00012208413681946695,0.0004657575336750597,9.239743500018811e-09
68,facs,3m,24m,male,Aorta,Igfbp5,-6.40780782699585,0.0006350388284772635,7.47924741517636e-06,0.0014764545485377312,2.2158624170120033e-07
69,facs,3m,24m,male,Lung,Xcr1,6.362978458404541,4.2395211607981764e-07,3.489516529953107e-05,0.0001660994894336909,1.0186069473108846e-12
70,facs,3m,24m,male,BAT,1190003J15Rik,6.301454067230225,3.9451398947676353e-07,3.111645855824463e-05,0.00012692574819084257,1.0997651925173095e-06
71,facs,3m,24m,male,Liver,Saa2,-6.292288780212402,0.0015883910236880183,2.026701440627221e-05,0.0031073351856321096,5.908046955051181e-28
72,facs,3m,24m,male,BAT,Aqp3,6.189281463623047,3.1851502626523143e-06,0.00023242855968419462,0.000745246943552047,8.896456157470435e-14
73,facs,3m,24m,male,Lung,Zbtb32,6.158547878265381,9.214678584612557e-07,6.582462083315477e-05,0.0003739220555871725,1.6699970956849463e-08
74,facs,3m,24m,male,Liver,Mup15,-6.109975814819336,1.4391137483471539e-05,2.0835651071138273e-07,3.944745913031511e-05,3.761371150044684e-08
75,facs,3m,24m,male,Aorta,Ehd3,-6.018482685089111,0.0013495043385773897,2.0817589756916277e-05,0.0025490319821983576,7.021980712693744e-13
76,facs,3m,24m,male,BAT,Ttn,6.001888751983643,1.7889844912133412e-06,0.00011464505951153114,0.00043882036698050797,1.547608079931439e-08
77,facs,3m,24m,male,BAT,Sftpc,6.000227928161621,2.5756028207979398e-06,0.00016486468666698784,0.0005963676958344877,4.975425652580509e-10
78,facs,3m,24m,male,Bladder,Bcat1,-5.938322067260742,1.5279090803232975e-05,2.491625252787344e-07,4.789155718754046e-05,5.487191343745563e-11
79,facs,3m,24m,male,Thymus,Hhex,5.9201836585998535,7.877009693402215e-07,4.769960287376307e-05,0.0002081033744616434,1.0428783924713794e-09
80,facs,3m,24m,male,BAT,Areg,5.879471778869629,1.8301170712220483e-06,0.00010773989197332412,0.00040479889139533043,7.937865208998497e-09
81,facs,3m,24m,male,BAT,Cldn7,5.85048246383667,2.125036417055526e-06,0.00012261320080142468,0.0004296864499337971,1.0049820717982335e-10
82,facs,3m,24m,male,Thymus,Fos,5.835322380065918,1.029087434289977e-05,0.0005875697825103998,0.003107544733211398,9.262027713415652e-06
83,facs,3m,24m,male,BAT,Prss2,5.826106071472168,1.5758073459437583e-06,8.939972030930221e-05,0.00036805536365136504,7.585613970149558e-07
84,facs,3m,24m,male,Kidney,Tff3,5.817688941955566,2.822102089794498e-07,1.591743239259813e-05,5.184531619306654e-05,6.010068131217089e-07
85,facs,3m,24m,male,Lung,Olfml2b,-5.814711093902588,0.0001563403639011085,2.7775924991146894e-06,0.00042707441025413573,5.0189418245854796e-15
86,facs,3m,24m,male,Liver,Mup16,-5.659749984741211,8.864501069183461e-06,1.753465852516456e-07,2.0823785234824754e-05,9.452143760388354e-06
87,facs,3m,24m,male,Liver,Saa1,-5.532373428344727,0.0017326966626569629,3.743796332855709e-05,0.0035550917964428663,1.4428023805371007e-24
88,facs,3m,24m,male,Tongue,Gm6981,5.504055976867676,1.4644039083577809e-06,6.645797111559659e-05,5.7006836868822575e-05,4.131051538591406e-261
89,facs,3m,24m,male,Thymus,Ccl5,5.365177631378174,9.557441444485448e-06,0.0003939317830372602,0.0014577494002878666,6.568119424095752e-15
90,facs,3m,24m,male,BAT,Perp,5.264039516448975,3.237353439544677e-06,0.00012440104910638183,0.00042203173507004976,1.8698881822312468e-11
91,facs,3m,24m,male,Thymus,Jun,5.256919860839844,6.128525910753524e-06,0.00023434014292433858,0.001162422471679747,8.71490674369066e-07
92,facs,3m,24m,male,Thymus,Cxcr3,5.2380900382995605,3.678513849081355e-06,0.00013883363862987608,0.0005557453259825706,6.368943314617737e-12
93,facs,3m,24m,male,Bladder,Col11a1,-5.237673282623291,5.181586311664432e-05,1.3733008472627262e-06,0.00011408127465983853,5.687948248726084e-34
94,facs,3m,24m,male,BAT,Klf5,5.2205657958984375,2.176129328290699e-06,8.113939838949591e-05,0.00029702571919187903,2.944292079801004e-09
95,facs,3m,24m,male,BAT,Cela1,5.214483737945557,2.281345587107353e-06,8.470466855214909e-05,0.00035956603824160993,5.12240019978899e-06
96,facs,3m,24m,male,BAT,Meig1,5.206384658813477,9.91831029750756e-07,3.661981099867262e-05,0.00014715192082803696,1.1040946485934571e-06
97,facs,3m,24m,male,Heart,Fam129c,5.161381244659424,9.368626479044906e-07,3.352794374222867e-05,0.00022446759976446629,5.325785193418466e-10
98,facs,3m,24m,male,Trachea,Ldlrad3,-5.1262288093566895,4.3055428250227123e-05,1.232760951097589e-06,0.0001285070029553026,2.861439452039521e-13
99,facs,3m,24m,male,Marrow,Car1,5.1251044273376465,4.274011189409066e-06,0.00014915780047886074,0.0013872069539502263,2.3037136858450546e-07
100,facs,3m,24m,male,Thymus,Ifitm2,5.087368011474609,1.8333189473196398e-06,6.232877785805613e-05,0.00023104171850718558,2.613468411679317e-14
101,facs,3m,24m,male,Brain_Non-Myeloid,Smtnl2,-5.087099075317383,1.1047725820390042e-05,3.250140991895023e-07,5.5859236454125494e-05,7.181066330380428e-08
102,facs,3m,24m,male,Lung,Dnase1l3,5.058164119720459,3.877050858136499e-06,0.00012916971172671765,0.0006586863892152905,6.596506630614234e-11
103,facs,3m,24m,male,BAT,Gsta3,5.033356189727783,6.889119390507403e-07,2.256085463159252e-05,9.080016752704978e-05,5.056218223415652e-06
104,facs,3m,24m,male,Thymus,Casp1,5.024786472320557,1.1313975392113207e-06,3.6832145269727334e-05,0.00016071561549324542,9.070401879415242e-09
105,facs,3m,24m,male,Thymus,Siglecg,4.9979705810546875,2.552142859713058e-06,8.155380055541173e-05,0.0003266885469201952,1.6621167535869658e-11
106,facs,3m,24m,male,Heart,C130026I21Rik,4.994626998901367,1.3717142337554833e-06,4.373171759652905e-05,0.0002002325200010091,1.3030027223840354e-24
107,facs,3m,24m,male,Limb_Muscle,Lars2,-4.930112838745117,0.0005209158989600837,1.708660420263186e-05,0.0003933841362595558,3.0352681468336087e-196
108,facs,3m,24m,male,Lung,C130026I21Rik,4.918083667755127,1.2183068065496627e-06,3.683389877551235e-05,0.00017230332014150918,9.970254843305436e-13
109,facs,3m,24m,male,Heart,Cxcl13,4.915025234222412,1.416755094396649e-05,0.00042742982623167336,0.0029696556739509106,8.762550573168502e-10
110,facs,3m,24m,male,Brain_Non-Myeloid,Ddx59,-4.898096084594727,1.3650047549162991e-05,4.57782704188503e-07,7.580876990687102e-05,1.972378945482696e-08
111,facs,3m,24m,male,Brain_Myeloid,Hist1h3e,-4.89803409576416,4.545158662949689e-05,1.5243809912135475e-06,0.0001557666837470606,5.09570900411265e-32
112,facs,3m,24m,male,GAT,Chrdl1,-4.894850254058838,0.00030858206446282566,1.0372272299719043e-05,0.000846386537887156,1.3711486290569528e-20
113,facs,3m,24m,male,Tongue,Arhgdib,4.877559661865234,9.419152320333524e-07,2.7688793124980293e-05,0.00011295564036117867,2.336394274711432e-11
114,facs,3m,24m,male,Lung,Scara5,-4.865459442138672,0.00013469815894495696,4.620748768502381e-06,0.00045034318463876843,2.3695401793629634e-08
115,facs,3m,24m,male,Thymus,Serpinb1a,4.83023738861084,3.904026925738435e-06,0.00011106040619779378,0.00039711888530291617,2.9364384195390732e-15
116,facs,3m,24m,male,Thymus,Ms4a1,4.80475378036499,8.885484930942766e-06,0.00024834543000906706,0.0007989154546521604,7.43346299526322e-20
117,facs,3m,24m,male,Thymus,Lmo2,4.803877353668213,1.0717576515162364e-06,2.993699672515504e-05,0.00014303538773674518,1.4336901039815978e-06
118,facs,3m,24m,male,Bladder,Lox,-4.794797897338867,5.570766006712802e-05,2.0069510355824605e-06,0.00012924238399136811,5.148385770234849e-30
119,facs,3m,24m,male,Bladder,AW551984,-4.751619815826416,1.7962202036869712e-05,6.667742127319798e-07,6.338443927234039e-05,5.897901588250093e-09
120,facs,3m,24m,male,Thymus,Tnfrsf13c,4.70699405670166,5.712222446163651e-06,0.00014919407840352505,0.0005739237531088293,7.940095589775149e-13
121,facs,3m,24m,male,BAT,Cbr2,4.694093227386475,4.796708253707038e-06,0.00012416699610184878,0.0004652600910048932,6.904329517917905e-08
122,facs,3m,24m,male,Thymus,Fcer2a,4.6849365234375,3.016221853613388e-06,7.758357969578356e-05,0.0003807880275417119,1.873445711043992e-06
123,facs,3m,24m,male,Marrow,Hspb1,4.674019813537598,4.7149825377346133e-07,1.2036527550662868e-05,9.025378676597029e-05,5.587740231732295e-07
124,facs,3m,24m,male,Thymus,Fcgr2b,4.6729230880737305,1.955761035787873e-06,4.9889134970726445e-05,0.00022503719083033502,3.979976509195533e-08
125,facs,3m,24m,male,Limb_Muscle,Ret,-4.6592698097229,4.900721614831127e-05,1.9394553874008125e-06,0.00015847508620936424,3.527774635655396e-07
126,facs,3m,24m,male,Brain_Non-Myeloid,Hrh1,-4.639220714569092,1.3453635801852215e-05,5.398763960329234e-07,8.565079770050943e-05,4.00612489722636e-06
127,facs,3m,24m,male,BAT,Lyz1,4.638913154602051,2.6068144052260322e-06,6.49474750389345e-05,0.00023942753614392132,1.64091478471001e-08
128,facs,3m,24m,male,GAT,A130040M12Rik,4.632970809936523,8.644192348583601e-06,0.00021448043116834015,0.0003872765228152275,2.3742557077777055e-61
129,facs,3m,24m,male,Trachea,A130040M12Rik,4.589079856872559,2.750471594481496e-06,6.620000203838572e-05,0.0001962921378435567,1.5866548723279533e-18
130,facs,3m,24m,male,Limb_Muscle,Ncoa4,-4.5771026611328125,1.6479303667438217e-05,6.903877647346235e-07,5.161892840988003e-05,5.487959998795394e-06
131,facs,3m,24m,male,Brain_Non-Myeloid,Slc16a7,-4.567607879638672,1.4650951015937608e-05,6.178431135595019e-07,7.753497629892081e-05,4.3301787906255436e-09
132,facs,3m,24m,male,BAT,Mal,4.5575852394104,3.479471615719376e-06,8.193762187147513e-05,0.0003025854821316898,3.1895416150513396e-08
133,facs,3m,24m,male,Lung,Gdf10,-4.555704116821289,0.000152621025335975,6.489492534456076e-06,0.0005601693992502987,3.2304757044788627e-06
134,facs,3m,24m,male,Marrow,Clca1,4.548720836639404,4.54118094239675e-07,1.0628479685692582e-05,7.54899883759208e-05,1.7746126777577248e-06
135,facs,3m,24m,male,Heart,Cd79a,4.542609691619873,2.3130163754103705e-05,0.0005390642327256501,0.0023811422288417816,8.873926979816674e-28
136,facs,3m,24m,male,Thymus,Rag2,-4.522897720336914,0.0005011532921344042,2.179930561396759e-05,0.0010600907262414694,5.539101023597755e-27
137,facs,3m,24m,male,GAT,Tspan11,-4.5194807052612305,5.742126450059004e-05,2.503647920093499e-06,0.00016003803466446698,2.021386295305917e-18
138,facs,3m,24m,male,Lung,Adamts2,-4.518774509429932,0.00025600052322261035,1.1167454431415536e-05,0.0006325515569187701,6.34435639040087e-18
139,facs,3m,24m,male,Limb_Muscle,Col3a1,-4.510921001434326,0.002344717737287283,0.00010284142626915127,0.0056215147487819195,2.273522532556934e-16
140,facs,3m,24m,male,Lung,Col3a1,-4.476627349853516,0.0013278595870360732,5.9642123233061284e-05,0.00349940313026309,2.3427995512594924e-15
141,facs,3m,24m,male,Bladder,Acta2,-4.474342346191406,0.0004152680339757353,1.868173603725154e-05,0.0013160684611648321,2.466130592452741e-15
142,facs,3m,24m,male,Limb_Muscle,Olfml2a,-4.469954967498779,7.559501682408154e-05,3.4111635613953695e-06,0.00017867126734927297,2.041800606779328e-16
