,Dataset,Start age,End age,Sex,Tissue,Subtissue,Cell type,Gene,dExpression,Confidence,Expression at start age,Expression at end age,Max expression std. dev
0,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Dtd1,6932.1611328125,low,0.0002861183893401176,4.127305430756678e-08,2.503326686564833e-05
1,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Elavl2,5899.2568359375,low,0.0001232894865097478,2.0898156094517617e-08,2.810044497891795e-05
2,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Cadm3,3608.48583984375,low,7.972200546646491e-05,2.2091924734013446e-08,1.708705531200394e-05
3,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Sh3bgrl,1769.1192626953125,low,0.00014430009468924254,8.156506225986959e-08,3.436846236581914e-05
4,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Bcap29,1686.099609375,low,0.00013918265176471323,8.254610861513356e-08,3.131937774014659e-05
5,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Slc9a6,1432.300537109375,low,6.328598101390526e-05,4.418384946802689e-08,8.817119123705197e-06
6,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Ube2j2,857.143798828125,low,3.5377797757973894e-05,4.127305430756678e-08,5.228805548540549e-06
7,facs,3m,24m,male,Heart,RV,smooth muscle cell,Zfp207,819.1344604492188,low,0.0007184036658145487,8.770267641011742e-07,0.00012388073082547635
8,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Acsl3,781.786865234375,low,6.453424430219457e-05,8.254610861513356e-08,8.446490937785711e-06
9,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Synrg,421.9764099121094,low,3.72895083273761e-05,8.836769893605378e-08,3.0040857836866053e-06
10,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Jkamp,399.6438903808594,low,0.00033710073330439627,8.435017662122846e-07,6.400504935299978e-05
11,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Exosc4,349.74554443359375,low,0.00015662955411244184,4.4783760699829145e-07,3.3703377994243056e-05
12,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Smap1,254.5473175048828,low,5.999808126944117e-05,2.3570402163386461e-07,1.4144125088932924e-05
13,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Atox1,247.58750915527344,low,4.23685232817661e-05,1.7112445505063079e-07,4.495492703426862e-06
14,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Stoml1,234.46282958984375,low,0.00011126169556519017,4.74537756645077e-07,1.480811715737218e-05
15,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Cd47,187.16139221191406,low,0.00019630230963230133,1.0488387260920717e-06,3.7241916288621724e-05
16,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Atcay,180.71629333496094,low,8.575688116252422e-05,4.74537756645077e-07,1.9027294911211357e-05
17,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Pdcd10,164.47967529296875,low,3.394305895199068e-05,2.0636528574868862e-07,7.092454325174913e-06
18,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Fhl1,155.46849060058594,low,0.000115500035462901,7.429150059579115e-07,2.709986256377306e-05
19,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Lpcat4,126.99359893798828,low,3.669002398964949e-05,2.889113943638222e-07,2.592678811197402e-06
20,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Fbxo25,123.82343292236328,low,4.380326208774932e-05,3.537548423082626e-07,6.652513093285961e-06
21,facs,3m,24m,male,Heart,RV,smooth muscle cell,Maged1,123.55155944824219,low,0.0008434218470938504,6.826475782872876e-06,1.6721382053219713e-05
22,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Hars,117.12635040283203,low,0.00018573288980405778,1.5857470998525969e-06,2.393080467300024e-05
23,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Actr3b,113.75975799560547,low,3.2866602850845084e-05,2.889113943638222e-07,3.0874766707711387e-06
24,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Aamp,113.1150131225586,low,0.00019391172099858522,1.714287122922542e-06,2.8786345865228213e-05
25,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Vps35,110.80747985839844,low,0.00010731767542893067,9.68504650700197e-07,1.8777749573928304e-05
26,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Zc3h15,108.31239318847656,low,0.000287061178823933,2.6503068966121646e-06,5.461356704472564e-05
27,facs,3m,24m,male,Pancreas,Exocrine,pancreatic stellate cell,Tff3,107.42471313476562,low,3.53552735532503e-07,3.7980407796567306e-05,5.67590768696391e-06
28,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,D4Wsu53e,103.3076400756836,low,0.0001601385447429493,1.5501123016292695e-06,3.3095617254730314e-05
29,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Psma5,94.46321105957031,low,0.00022042711498215795,2.333469637960661e-06,4.299937063478865e-05
30,facs,3m,24m,male,Heart,RV,smooth muscle cell,Vapb,91.9941177368164,low,9.223807137459517e-05,1.0026508334703976e-06,5.5150849220808595e-06
31,facs,3m,24m,male,Heart,RV,smooth muscle cell,Foxc1,86.31624603271484,low,0.00015140340838115662,1.7540535282023484e-06,3.179585837642662e-05
32,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,BC018242,86.1949691772461,low,5.455343853100203e-05,6.329064490273595e-07,1.2181661077192985e-05
33,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Rbbp4,83.33859252929688,low,0.00010045297676697373,1.2053586715410347e-06,1.1883541446877643e-05
34,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Epm2aip1,77.09756469726562,low,8.84325199876912e-05,1.1470199297036743e-06,2.0600064090103842e-05
35,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Fzr1,75.0069580078125,low,0.00021051219664514065,2.8065678634447977e-06,3.9667924284003675e-05
36,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Rnps1,69.85926818847656,low,7.039731281111017e-05,1.0077008028019918e-06,1.58505226863781e-05
37,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Plcxd2,68.34178161621094,low,0.00013660397962667048,1.998834704863839e-06,2.532440521463286e-05
38,facs,3m,24m,male,Heart,RV,smooth muscle cell,Rab11b,67.75608825683594,low,0.0005348151898942888,7.89324076322373e-06,7.26166763342917e-05
39,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Bcap31,65.34976196289062,low,0.00019892677664756775,3.044031245735823e-06,2.95964528049808e-05
40,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Rps6kb1,65.1226577758789,low,8.987268665805459e-05,1.380051457999798e-06,1.8104847185895778e-05
41,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Mllt11,62.763797760009766,low,0.0004819491587113589,7.678775546082761e-06,5.713577047572471e-05
42,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Slk,60.38515090942383,low,4.505885954131372e-05,7.461900395355769e-07,7.770414413243998e-06
43,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Zcrb1,58.58479309082031,low,7.66698649385944e-05,1.3086980743537424e-06,9.61711339186877e-06
44,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Zc3hc1,58.46612548828125,low,0.00011341460049152374,1.9398335098230746e-06,2.3227768906508572e-05
45,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Ncs1,55.50006866455078,low,7.630424079252407e-05,1.3748484661846305e-06,1.815832729334943e-05
46,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Sdf2,55.01450729370117,low,3.89014785469044e-05,7.071120649015938e-07,2.9841514788131462e-06
47,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Ccdc104,49.31513595581055,low,0.00015775146312080324,3.198843842255883e-06,3.647322591859847e-05
48,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Eif5,47.979610443115234,low,0.00039523420855402946,8.2375445344951e-06,4.662505307351239e-05
49,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Cldn25,45.707435607910156,low,6.506975478259847e-05,1.4236131846701028e-06,1.5873707525315695e-05
