,Dataset,Start age,End age,Sex,Tissue,Subtissue,Cell type,Gene,dExpression,Confidence,Expression at start age,Expression at end age,Max expression std. dev
0,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Dtd1,6932.1611328125,low,0.0002861183893401176,4.127305430756678e-08,2.503326686564833e-05
1,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Elavl2,5899.2568359375,low,0.0001232894865097478,2.0898156094517617e-08,2.810044497891795e-05
2,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Cadm3,3608.48583984375,low,7.972200546646491e-05,2.2091924734013446e-08,1.708705531200394e-05
0,facs,18m,24m,male,Pancreas,Exocrine,leukocyte,Dpm1,3133.759765625,low,7.14652196620591e-05,2.2803945398663927e-08,1.7566524547873996e-05
3,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Sh3bgrl,1769.1192626953125,low,0.00014430009468924254,8.156506225986959e-08,3.436846236581914e-05
4,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Bcap29,1686.099609375,low,0.00013918265176471323,8.254610861513356e-08,3.131937774014659e-05
5,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Slc9a6,1432.300537109375,low,6.328598101390526e-05,4.418384946802689e-08,8.817119123705197e-06
1,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Pdlim1,1105.71142578125,low,0.00017111162014771253,1.547515182664938e-07,3.738513623829931e-05
2,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Ptpra,986.6050415039062,low,0.0001526796113466844,1.547515182664938e-07,3.377893517608754e-05
3,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Cd27,899.2661743164062,low,0.0002411329187452793,2.681431112705468e-07,2.3775452064001e-05
6,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Ube2j2,857.143798828125,low,3.5377797757973894e-05,4.127305430756678e-08,5.228805548540549e-06
4,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Clns1a,822.1781005859375,low,0.00022046221420168877,2.681431112705468e-07,5.081414565211162e-05
7,facs,3m,24m,male,Heart,RV,smooth muscle cell,Zfp207,819.1344604492188,low,0.0007184036658145487,8.770267641011742e-07,0.00012388073082547635
8,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Acsl3,781.786865234375,low,6.453424430219457e-05,8.254610861513356e-08,8.446490937785711e-06
5,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Hsd3b7,752.0015258789062,low,0.0002016447833739221,2.681431112705468e-07,3.1053928069013637e-06
6,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Tacstd2,460.68017578125,low,0.00012352867634035647,2.681431112705468e-07,5.152310677658534e-06
7,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Dnajc2,455.53509521484375,low,0.0001221490529133007,2.681431112705468e-07,8.840168447932228e-06
0,facs,3m,18m,female,Lung,EPCAM,club cell of bronchiole,Cd47,444.84893798828125,low,9.72716293290432e-07,0.0004327122587710619,6.310861499514431e-05
9,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Synrg,421.9764099121094,low,3.72895083273761e-05,8.836769893605378e-08,3.0040857836866053e-06
10,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Jkamp,399.6438903808594,low,0.00033710073330439627,8.435017662122846e-07,6.400504935299978e-05
1,facs,3m,18m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Diap1,359.659912109375,low,2.1613135459119803e-07,7.773414108669385e-05,1.5771256585139781e-06
11,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Exosc4,349.74554443359375,low,0.00015662955411244184,4.4783760699829145e-07,3.3703377994243056e-05
2,facs,3m,18m,female,BAT,Fat,mesenchymal stem cell of adipose,Dok1,327.2217102050781,low,1.324565118920873e-06,0.00043342678691260517,2.572993435023818e-05
12,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Smap1,254.5473175048828,low,5.999808126944117e-05,2.3570402163386461e-07,1.4144125088932924e-05
13,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Atox1,247.58750915527344,low,4.23685232817661e-05,1.7112445505063079e-07,4.495492703426862e-06
14,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Stoml1,234.46282958984375,low,0.00011126169556519017,4.74537756645077e-07,1.480811715737218e-05
8,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Shmt2,213.06256103515625,low,0.00021431663481052965,1.0058848829430644e-06,3.7119501939741895e-05
15,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Cd47,187.16139221191406,low,0.00019630230963230133,1.0488387260920717e-06,3.7241916288621724e-05
3,facs,3m,18m,female,Marrow,Granulocytes,granulocyte monocyte progenitor cell,1110057K04Rik,187.08572387695312,low,3.1943451972438197e-07,5.976182364975102e-05,1.1634917427727487e-05
16,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Atcay,180.71629333496094,low,8.575688116252422e-05,4.74537756645077e-07,1.9027294911211357e-05
9,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Rbm7,180.29808044433594,low,4.834586798097007e-05,2.681431112705468e-07,5.443544068839401e-06
4,facs,3m,18m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Casp8,168.73402404785156,low,9.629671922084526e-07,0.00016248550673481077,1.0254399967379868e-05
17,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Pdcd10,164.47967529296875,low,3.394305895199068e-05,2.0636528574868862e-07,7.092454325174913e-06
10,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,1110057K04Rik,161.76339721679688,low,4.337590144132264e-05,2.681431112705468e-07,1.0274943633703515e-05
11,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Casp8,161.53472900390625,low,0.00016248550673481077,1.0058848829430644e-06,1.0254399967379868e-05
18,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Fhl1,155.46849060058594,low,0.000115500035462901,7.429150059579115e-07,2.709986256377306e-05
5,facs,3m,18m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Copb1,143.7480926513672,low,6.570920731974184e-07,9.445587784284726e-05,1.0233995453745592e-05
12,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Snapc2,139.1177520751953,low,5.38218482688535e-05,3.868788098770892e-07,1.0855776963580865e-05
6,facs,3m,18m,female,BAT,Fat,mesenchymal stem cell of adipose,Atp8b2,130.95584106445312,low,1.405154648637108e-06,0.00018401334818918258,1.3596402823168319e-05
19,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Lpcat4,126.99359893798828,low,3.669002398964949e-05,2.889113943638222e-07,2.592678811197402e-06
20,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Fbxo25,123.82343292236328,low,4.380326208774932e-05,3.537548423082626e-07,6.652513093285961e-06
21,facs,3m,24m,male,Heart,RV,smooth muscle cell,Maged1,123.55155944824219,low,0.0008434218470938504,6.826475782872876e-06,1.6721382053219713e-05
7,facs,3m,18m,male,Heart,RV,atrial myocyte,Slc25a39,119.8050765991211,low,3.090981408604421e-05,0.003703152760863304,0.0006730743916705251
22,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Hars,117.12635040283203,low,0.00018573288980405778,1.5857470998525969e-06,2.393080467300024e-05
13,facs,18m,24m,male,Heart,RV,atrial myocyte,Snca,116.47969055175781,low,0.011833259835839272,0.00010159075463889167,0.00143025116994977
8,facs,3m,18m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Atxn1,115.3592529296875,low,1.4118841136223637e-06,0.0001628740137675777,3.1902258342597634e-05
23,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Actr3b,113.75975799560547,low,3.2866602850845084e-05,2.889113943638222e-07,3.0874766707711387e-06
9,facs,3m,18m,female,Marrow,Granulocytes,granulocyte monocyte progenitor cell,Mgea5,113.32071685791016,low,6.388690394487639e-07,7.239721162477508e-05,1.095508378057275e-05
24,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,neuron,Aamp,113.1150131225586,low,0.00019391172099858522,1.714287122922542e-06,2.8786345865228213e-05
